question	context	answer
Around what time did Therapsids become the dominant land animal?	Therapsids descended from pelycosaurs in the Middle Permian, about 265 million years ago, and became the dominant land vertebrates. They differ from basal eupelycosaurs in several features of the skull and jaws, including: larger temporal fenestrae and incisors which are equal in size. The therapsid lineage leading to mammals went through a series of stages, beginning with animals that were very like their pelycosaur ancestors and ending with probainognathian cynodonts, some of which could easily be mistaken for mammals. Those stages were characterized by:	265 million years ago
What do unrecognized faiths and denominations in Eritrea have to undergo?	According to recent estimates, 50% of the population adheres to Christianity, Islam 48%, while 2% of the population follows other religions including traditional African religion and animism. According to a study made by Pew Research Center, 63% adheres to Christianity and 36% adheres to Islam. Since May 2002, the government of Eritrea has officially recognized the Eritrean Orthodox Tewahedo Church (Oriental Orthodox), Sunni Islam, the Eritrean Catholic Church (a Metropolitanate sui juris) and the Evangelical Lutheran church. All other faiths and denominations are required to undergo a registration process. Among other things, the government's registration system requires religious groups to submit personal information on their membership to be allowed to worship.	a registration process
What did Irokawa Daikichi act out against?	"Around the end of the 19th century and into the 20th century, the Meiji era was marked by the reign of the Meiji Emperor. During this time, Japan started its modernization and rose to world power status. This era name means ""Enlightened Rule"". In Japan, the Meiji Restoration started in the 1860s, marking the rapid modernization by the Japanese themselves along European lines. Much research has focused on the issues of discontinuity versus continuity with the previous Tokugawa Period. In the 1960s younger Japanese scholars led by Irokawa Daikichi, reacted against the bureaucratic superstate, and began searching for the historic role of the common people . They avoided the elite, and focused not on political events but on social forces and attitudes. They rejected both Marxism and modernization theory as alien and confining. They stressed the importance of popular energies in the development of modern Japan. They enlarged history by using the methods of social history. It was not until the beginning of the Meiji Era that the Japanese government began taking modernization seriously. Japan expanded its military production base by opening arsenals in various locations. The hyobusho (war office) was replaced with a War Department and a Naval Department. The samurai class suffered great disappointment the following years."	bureaucratic superstate
What type predatory lending method did Countrywide Financial use?	"Predatory lending refers to the practice of unscrupulous lenders, enticing borrowers to enter into ""unsafe"" or ""unsound"" secured loans for inappropriate purposes. A classic bait-and-switch method was used by Countrywide Financial, advertising low interest rates for home refinancing. Such loans were written into extensively detailed contracts, and swapped for more expensive loan products on the day of closing. Whereas the advertisement might state that 1% or 1.5% interest would be charged, the consumer would be put into an adjustable rate mortgage (ARM) in which the interest charged would be greater than the amount of interest paid. This created negative amortization, which the credit consumer might not notice until long after the loan transaction had been consummated."	classic bait-and-switch
What does transcription produce?	Transcription produces a single-stranded RNA molecule known as messenger RNA, whose nucleotide sequence is complementary to the DNA from which it was transcribed.:6.1 The mRNA acts as an intermediate between the DNA gene and its final protein product. The gene's DNA is used as a template to generate a complementary mRNA. The mRNA matches the sequence of the gene's DNA coding strand because it is synthesised as the complement of the template strand. Transcription is performed by an enzyme called an RNA polymerase, which reads the template strand in the 3' to 5' direction and synthesizes the RNA from 5' to 3'. To initiate transcription, the polymerase first recognizes and binds a promoter region of the gene. Thus, a major mechanism of gene regulation is the blocking or sequestering the promoter region, either by tight binding by repressor molecules that physically block the polymerase, or by organizing the DNA so that the promoter region is not accessible.:7	a single-stranded RNA molecule known as messenger RNA
Victoria initially opposed Beatrice's marriage to what man? 	"On 17 March 1883, she fell down some stairs at Windsor, which left her lame until July; she never fully recovered and was plagued with rheumatism thereafter. Brown died 10 days after her accident, and to the consternation of her private secretary, Sir Henry Ponsonby, Victoria began work on a eulogistic biography of Brown. Ponsonby and Randall Davidson, Dean of Windsor, who had both seen early drafts, advised Victoria against publication, on the grounds that it would stoke the rumours of a love affair. The manuscript was destroyed. In early 1884, Victoria did publish More Leaves from a Journal of a Life in the Highlands, a sequel to her earlier book, which she dedicated to her ""devoted personal attendant and faithful friend John Brown"". On the day after the first anniversary of Brown's death, Victoria was informed by telegram that her youngest son, Leopold, had died in Cannes. He was ""the dearest of my dear sons"", she lamented. The following month, Victoria's youngest child, Beatrice, met and fell in love with Prince Henry of Battenberg at the wedding of Victoria's granddaughter Princess Victoria of Hesse and by Rhine to Henry's brother Prince Louis of Battenberg. Beatrice and Henry planned to marry, but Victoria opposed the match at first, wishing to keep Beatrice at home to act as her companion. After a year, she was won around to the marriage by Henry and Beatrice's promise to remain living with and attending her."	Prince Henry of Battenberg
What does the Omni processor do	"The Reinvent the Toilet Challenge is a long-term research and development effort to develop a hygienic, stand-alone toilet. This challenge is being complemented by another investment program to develop new technologies for improved pit latrine emptying (called by the foundation the ""Omni-Ingestor"") and fecal sludge processing (called ""Omni-Processor""). The aim of the ""Omni Processor"" is to convert excreta (for example fecal sludge) into beneficial products such as energy and soil nutrients with the potential to develop local business and revenue."	"The aim of the ""Omni Processor"" is to convert excreta (for example fecal sludge) into beneficial products such as energy and soil nutrients"
In what year did New Haven host the Special Olympic Summer World Games?	"New Haven was the host of the 1995 Special Olympics World Summer Games; then-President Bill Clinton spoke at the opening ceremonies. The city is home to the Pilot Pen International tennis event, which takes place every August at the Connecticut Tennis Center, one of the largest tennis venues in the world. New Haven biannually hosts ""The Game"" between Yale and Harvard, the country's second-oldest college football rivalry. Numerous road races take place in New Haven, including the USA 20K Championship during the New Haven Road Race."	1995
Why is sequencing done on plants?	A considerable amount of new knowledge about plant function comes from studies of the molecular genetics of model plants such as the Thale cress, Arabidopsis thaliana, a weedy species in the mustard family (Brassicaceae). The genome or hereditary information contained in the genes of this species is encoded by about 135 million base pairs of DNA, forming one of the smallest genomes among flowering plants. Arabidopsis was the first plant to have its genome sequenced, in 2000. The sequencing of some other relatively small genomes, of rice (Oryza sativa) and Brachypodium distachyon, has made them important model species for understanding the genetics, cellular and molecular biology of cereals, grasses and monocots generally.	understanding the genetics
The the Ur III period, what crop had Sumerians switched to from wheat for their primary crop?	"As is known from the ""Sumerian Farmer's Almanac"", after the flood season and after the Spring Equinox and the Akitu or New Year Festival, using the canals, farmers would flood their fields and then drain the water. Next they made oxen stomp the ground and kill weeds. They then dragged the fields with pickaxes. After drying, they plowed, harrowed, and raked the ground three times, and pulverized it with a mattock, before planting seed. Unfortunately the high evaporation rate resulted in a gradual increase in the salinity of the fields. By the Ur III period, farmers had switched from wheat to the more salt-tolerant barley as their principal crop."	salt-tolerant barley
What was the newer model called?	In December 1993, the Famicom received a similar redesign. It also loads cartridges through a covered slot on the top of the unit and uses non-hardwired controllers. Because HVC-101 used composite video output instead of being RF only like the HVC-001, Nintendo marketed the newer model as the AV Famicom (AV仕様ファミコン, Eibui Shiyō Famikon?). Since the new controllers don't have microphones on them like the second controller on the original console, certain games such as the Disk System version of The Legend of Zelda and Raid on Bungeling Bay will have certain tricks that cannot be replicated when played on an HVC-101 Famicom without a modded controller. However, the HVC-101 Famicom is compatible with most NES controllers due to having the same controller port. Nintendo had also released a 3D graphic capable headset. However, this peripheral was never released outside Japan.[citation needed]	AV Famicom
What are the two main divisions of Iranian tongues?	"Conventionally, Iranian languages are grouped in ""western"" and ""eastern"" branches. These terms have little meaning with respect to Old Avestan as that stage of the language may predate the settling of the Iranian peoples into western and eastern groups. The geographic terms also have little meaning when applied to Younger Avestan since it isn't known where that dialect (or dialects) was spoken either. Certain is only that Avestan (all forms) and Old Persian are distinct, and since Old Persian is ""western"", and Avestan was not Old Persian, Avestan acquired a default assignment to ""eastern"". Confusing the issue is the introduction of a western Iranian substrate in later Avestan compositions and redactions undertaken at the centers of imperial power in western Iran (either in the south-west in Persia, or in the north-west in Nisa/Parthia and Ecbatana/Media)."	western and eastern
Are puns, proverbs, metaphors, and analogies lower-order or higher-order logic?	The appearance of more systematic, abstract thinking is another notable aspect of cognitive development during adolescence. For example, adolescents find it easier than children to comprehend the sorts of higher-order abstract logic inherent in puns, proverbs, metaphors, and analogies. Their increased facility permits them to appreciate the ways in which language can be used to convey multiple messages, such as satire, metaphor, and sarcasm. (Children younger than age nine often cannot comprehend sarcasm at all.) This also permits the application of advanced reasoning and logical processes to social and ideological matters such as interpersonal relationships, politics, philosophy, religion, morality, friendship, faith, democracy, fairness, and honesty.	higher-order
How many international universities operate in London?	A number of universities in London are outside the University of London system, including Brunel University, City University London, Imperial College London, Kingston University, London Metropolitan University, Middlesex University, University of East London, University of West London and University of Westminster, (with over 34,000 students, the largest unitary university in London), London South Bank University, Middlesex University, University of the Arts London (the largest university of art, design, fashion, communication and the performing arts in Europe), University of East London, the University of West London and the University of Westminster. In addition there are three international universities in London – Regent's University London, Richmond, The American International University in London and Schiller International University.	three
After his marriage, Napoleon left Paris to lead what army?	Two days after the marriage, Bonaparte left Paris to take command of the Army of Italy. He immediately went on the offensive, hoping to defeat the forces of Piedmont before their Austrian allies could intervene. In a series of rapid victories during the Montenotte Campaign, he knocked Piedmont out of the war in two weeks. The French then focused on the Austrians for the remainder of the war, the highlight of which became the protracted struggle for Mantua. The Austrians launched a series of offensives against the French to break the siege, but Napoleon defeated every relief effort, scoring notable victories at the battles of Castiglione, Bassano, Arcole, and Rivoli. The decisive French triumph at Rivoli in January 1797 led to the collapse of the Austrian position in Italy. At Rivoli, the Austrians lost up to 14,000 men while the French lost about 5,000.	the Army of Italy
What was Elihu Yale's father's name?	"In 1718, at the behest of either Rector Samuel Andrew or the colony's Governor Gurdon Saltonstall, Cotton Mather contacted a successful businessman named Elihu Yale, who lived in Wales but had been born in Boston and whose father, David, had been one of the original settlers in New Haven, to ask him for financial help in constructing a new building for the college. Through the persuasion of Jeremiah Dummer, Yale, who had made a fortune through trade while living in Madras as a representative of the East India Company, donated nine bales of goods, which were sold for more than £560, a substantial sum at the time. Cotton Mather suggested that the school change its name to Yale College. Meanwhile, a Harvard graduate working in England convinced some 180 prominent intellectuals that they should donate books to Yale. The 1714 shipment of 500 books represented the best of modern English literature, science, philosophy and theology. It had a profound effect on intellectuals at Yale. Undergraduate Jonathan Edwards discovered John Locke's works and developed his original theology known as the ""new divinity."" In 1722 the Rector and six of his friends, who had a study group to discuss the new ideas, announced that they had given up Calvinism, become Arminians, and joined the Church of England. They were ordained in England and returned to the colonies as missionaries for the Anglican faith. Thomas Clapp became president in 1745, and struggled to return the college to Calvinist orthodoxy; but he did not close the library. Other students found Deist books in the library."	David
What was British imperial strength replace by?	British imperial strength was underpinned by the steamship and the telegraph, new technologies invented in the second half of the 19th century, allowing it to control and defend the Empire. By 1902, the British Empire was linked together by a network of telegraph cables, the so-called All Red Line. Growing until 1922, around 13,000,000 square miles (34,000,000 km2) of territory and roughly 458 million people were added to the British Empire. The British established colonies in Australia in 1788, New Zealand in 1840 and Fiji in 1872, with much of Oceania becoming part of the British Empire.	steamship and the telegraph
What had many of the city's barrios previously been?	Of much greater importance is the division of the city into 62 barrios: neighbourhoods or wards. Many of the city's barrios—such as Sayago, Ituzaingó and Pocitos—were previously geographically separate settlements, later absorbed by the growth of the city. Others grew up around certain industrial sites, including the salt-curing works of Villa del Cerro and the tanneries in Nuevo París. Each barrio has its own identity, geographic location and socio-cultural activities. A neighbourhood of great significance is Ciudad Vieja, that was surrounded by a protective wall until 1829. This area contains most important buildings of the colonial era and early decades of independence.	geographically separate settlements
When were the economic laws passed in Mexico City?	The politics pursued by the administrations of heads of government in Mexico City since the second half of the 20th century have usually been more liberal than those of the rest of the country, whether with the support of the federal government—as was the case with the approval of several comprehensive environmental laws in the 1980s—or through laws recently approved by the Legislative Assembly. In April of the same year, the Legislative Assembly expanded provisions on abortions, becoming the first federal entity to expand abortion in Mexico beyond cases of rape and economic reasons, to permit it regardless of the reason should the mother request it before the twelfth week of pregnancy. In December 2009, the Federal District became the first city in Latin America, and one of very few in the world, to legalize same-sex marriage.	1980s
Did Bush have the support of the UN, when he decided to infiltrate Iraq on March 20, 2003?	"The Bush administration then turned its attention to Iraq, and argued the need to remove Saddam Hussein from power in Iraq had become urgent. Among the stated reasons were that Saddam's regime had tried to acquire nuclear material and had not properly accounted for biological and chemical material it was known to have previously possessed, and believed to still maintain. Both the possession of these weapons of mass destruction (WMD), and the failure to account for them, would violate the U.N. sanctions. The assertion about WMD was hotly advanced by the Bush administration from the beginning, but other major powers including China, France, Germany, and Russia remained unconvinced that Iraq was a threat and refused to allow passage of a UN Security Council resolution to authorize the use of force. Iraq permitted UN weapon inspectors in November 2002, who were continuing their work to assess the WMD claim when the Bush administration decided to proceed with war without UN authorization and told the inspectors to leave the country. The United States invaded Iraq on March 20, 2003, along with a ""coalition of the willing"" that consisted of additional troops from the United Kingdom, and to a lesser extent, from Australia and Poland. Within about three weeks, the invasion caused the collapse of both the Iraqi government and its armed forces, however, the U.S. and allied forces failed to find any weapon of mass destruction in Iraq. Traces of former materials and weapons labs were reported to have been located, but no ""smoking guns"". Nevertheless, on May 1, George W. Bush landed on the aircraft carrier USS Abraham Lincoln, in a Lockheed S-3 Viking, where he gave a speech announcing the end of ""major combat operations"" in the Iraq War. Bush's approval rating in May was at 66%, according to a CNN–USA Today–Gallup poll. However, Bush's high approval ratings did not last. First, while the war itself was popular in the U.S., the reconstruction and attempted ""democratization"" of Iraq lost some support as months passed and casualty figures increased, with no decrease in violence nor progress toward stability or reconstruction. Second, as investigators combed through the country, they failed to find the predicted WMD stockpiles, which led to debate over the rationale for the war."	without UN authorization
How many employees worked at Dell's Texas headquarters?	"Dell previously had its headquarters in the Arboretum complex in northern Austin, Texas. In 1989 Dell occupied 127,000 square feet (11,800 m2) in the Arboretum complex. In 1990, Dell had 1,200 employees in its headquarters. In 1993, Dell submitted a document to Round Rock officials, titled ""Dell Computer Corporate Headquarters, Round Rock, Texas, May 1993 Schematic Design."" Despite the filing, during that year the company said that it was not going to move its headquarters. In 1994, Dell announced that it was moving most of its employees out of the Arboretum, but that it was going to continue to occupy the top floor of the Arboretum and that the company's official headquarters address would continue to be the Arboretum. The top floor continued to hold Dell's board room, demonstration center, and visitor meeting room. Less than one month prior to August 29, 1994, Dell moved 1,100 customer support and telephone sales employees to Round Rock. Dell's lease in the Arboretum had been scheduled to expire in 1994."	1,200
What positive integer is used to divide the sum of two positive integers in modular mathematics?	"In modular arithmetic, two integers are added and then the sum is divided by a positive integer called the modulus. The result of modular addition is the remainder of that division. For any modulus, n, the set of integers from 0 to n − 1 forms a group under modular addition: the inverse of any element a is n − a, and 0 is the identity element. This is familiar from the addition of hours on the face of a clock: if the hour hand is on 9 and is advanced 4 hours, it ends up on 1, as shown at the right. This is expressed by saying that 9 + 4 equals 1 ""modulo 12"" or, in symbols,"	the modulus
What law enacted in the U.S. in 1998 gave online intermediaries limited statutory immunity?	"The U.S. Digital Millennium Copyright Act (1998) and the European E-Commerce Directive (2000) provide online intermediaries with limited statutory immunity from liability for copyright infringement. Online intermediaries hosting content that infringes copyright are not liable, so long as they do not know about it and take actions once the infringing content is brought to their attention. In U.S. law this is characterized as ""safe harbor"" provisions. Under European law, the governing principles for Internet Service Providers are ""mere conduit"", meaning that they are neutral 'pipes' with no knowledge of what they are carrying; and 'no obligation to monitor' meaning that they cannot be given a general mandate by governments to monitor content. These two principles are a barrier for certain forms of online copyright enforcement and they were the reason behind an attempt to amend the European Telecoms Package in 2009 to support new measures against copyright infringement."	Digital Millennium Copyright Act
What country's independence were the chain members celebrating?	On January 21, 1990, Rukh organized a 300-mile (480 km) human chain between Kiev, Lviv, and Ivano-Frankivsk. Hundreds of thousands joined hands to commemorate the proclamation of Ukrainian independence in 1918 and the reunification of Ukrainian lands one year later (1919 Unification Act). On January 23, 1990, the Ukrainian Greek-Catholic Church held its first synod since its liquidation by the Soviets in 1946 (an act which the gathering declared invalid). On February 9, 1990, the Ukrainian Ministry of Justice officially registered Rukh. However, the registration came too late for Rukh to stand its own candidates for the parliamentary and local elections on March 4. At the 1990 elections of people's deputies to the Supreme Council (Verkhovna Rada), candidates from the Democratic Bloc won landslide victories in western Ukrainian oblasts. A majority of the seats had to hold run-off elections. On March 18, Democratic candidates scored further victories in the run-offs. The Democratic Bloc gained about 90 out of 450 seats in the new parliament.	Ukrainian
When did the US start bombing Hanoi?	The military history of the American side of the war involved different strategies over the years. The bombing campaigns of the Air Force were tightly controlled by the White House for political reasons, and until 1972 avoided the main Northern cities of Hanoi and Haiphong and concentrated on bombing jungle supply trails, especially the Ho Chi Minh Trail. The most controversial Army commander was William Westmoreland whose strategy involved systematic defeat of all enemy forces in the field, despite heavy American casualties that alienated public opinion back home.	1972
Why can't glaciers form in polar deserts?	Even at high latitudes, glacier formation is not inevitable. Areas of the Arctic, such as Banks Island, and the McMurdo Dry Valleys in Antarctica are considered polar deserts where glaciers cannot form because they receive little snowfall despite the bitter cold. Cold air, unlike warm air, is unable to transport much water vapor. Even during glacial periods of the Quaternary, Manchuria, lowland Siberia, and central and northern Alaska, though extraordinarily cold, had such light snowfall that glaciers could not form.	they receive little snowfall
Which army's defeat compelled Prince Charles to attack?	With the defeat of the First Army, Prince Frederick Charles ordered a massed artillery attack against Canrobert's position at St. Privat to prevent the Guards attack from failing too. At 19:00 the 3rd Division of Fransecky's II Corps of the Second Army advanced across Ravine while the XII Corps cleared out the nearby town of Roncourt and with the survivors of the 1st Guards Infantry Division launched a fresh attack against the ruins of St. Privat. At 20:00, the arrival of the Prussian 4th Infantry Division of the II Corps and with the Prussian right flank on Mance Ravine, the line stabilised. By then, the Prussians of the 1st Guards Infantry Division and the XII and II Corps captured St. Privat forcing the decimated French forces to withdraw. With the Prussians exhausted from the fighting, the French were now able to mount a counter-attack. General Bourbaki, however, refused to commit the reserves of the French Old Guard to the battle because, by that time, he considered the overall situation a 'defeat'. By 22:00, firing largely died down across the battlefield for the night. The next morning, the French Army of the Rhine, rather than resume the battle with an attack of its own against the battle-weary German armies, retreated to Metz where they were besieged and forced to surrender two months later.	defeat of the First Army,
What is th eofficial compilation of federal statutory law called?	The law of the United States comprises many levels of codified and uncodified forms of law, of which the most important is the United States Constitution, the foundation of the federal government of the United States. The Constitution sets out the boundaries of federal law, which consists of acts of Congress, treaties ratified by the Senate, regulations promulgated by the executive branch, and case law originating from the federal judiciary. The United States Code is the official compilation and codification of general and permanent federal statutory law.	The United States Code
When did the airport open for business?	Nanjing's airport, Lukou International Airport, serves both national and international flights. In 2013, Nanjing airport handled 15,011,792 passengers and 255,788.6 tonnes of freight. The airport currently has 85 routes to national and international destinations, which include Japan, Korea, Thailand, Malaysia, Singapore, USA and Germany. The airport is connected by a 29-kilometre (18 mi) highway directly to the city center, and is also linked to various intercity highways, making it accessible to the passengers from the surrounding cities. A railway Ninggao Intercity Line is being built to link the airport with Nanjing South Railway Station. Lukou Airport was opened on 28 June 1997, replacing Nanjing Dajiaochang Airport as the main airport serving Nanjing. Dajiaochang Airport is still used as a military air base.	28 June 1997
Which major gaming company claimed copyright ad revenue rights against uploaders?	Much of YouTube's revenue goes to the copyright holders of the videos. In 2010 it was reported that nearly a third of the videos with advertisements were uploaded without permission of the copyright holders. YouTube gives an option for copyright holders to locate and remove their videos or to have them continue running for revenue. In May 2013, Nintendo began enforcing its copyright ownership and claiming the advertising revenue from video creators who posted screenshots of its games. In February 2015, Nintendo agreed to share the revenue with the video creators.	Nintendo
What is a notable recent development in T-ray imaging?	"In infrared photography, infrared filters are used to capture the near-infrared spectrum. Digital cameras often use infrared blockers. Cheaper digital cameras and camera phones have less effective filters and can ""see"" intense near-infrared, appearing as a bright purple-white color. This is especially pronounced when taking pictures of subjects near IR-bright areas (such as near a lamp), where the resulting infrared interference can wash out the image. There is also a technique called 'T-ray' imaging, which is imaging using far-infrared or terahertz radiation. Lack of bright sources can make terahertz photography more challenging than most other infrared imaging techniques. Recently T-ray imaging has been of considerable interest due to a number of new developments such as terahertz time-domain spectroscopy."	terahertz time-domain spectroscopy
How many users were paid for in 2004?	Sometimes only partial compliance with license agreements is the cause. For example, in 2013, the US Army settled a lawsuit with Texas-based company Apptricity, which makes software that allows the army to track their soldiers in real time. In 2004, the US Army paid US$4.5 million for a license of 500 users, while allegedly installing the software for more than 9000 users; the case was settled for US$50 million. Major anti-piracy organizations, like the BSA, conduct software licensing audits regularly to ensure full compliance.	500 users
What was the unemployment rate in the Siene-Saint-Denis department?	The average net household income (after social, pension and health insurance contributions) in Paris was €36,085 for 2011. It ranged from €22,095 in the 19th arrondissement to €82,449 in the 7th arrondissement. The median taxable income for 2011 was around €25,000 in Paris and €22,200 for Île-de-France. Generally speaking, incomes are higher in the Western part of the city and in the western suburbs than in the northern and eastern parts of the urban area.[citation needed] Unemployment was estimated at 8.2 percent in the city of Paris and 8.8 percent in the Île-de-France region in the first trimester of 2015. It ranged from 7.6 percent in the wealthy Essonne department to 13.1 percent in the Seine-Saint-Denis department, where many recent immigrants live.	13.1
What is a well known Afro-pop artist?	"Malian musical traditions are derived from the griots, who are known as ""Keepers of Memories"". Malian music is diverse and has several different genres. Some famous Malian influences in music are kora virtuoso musician Toumani Diabaté, the late roots and blues guitarist Ali Farka Touré, the Tuareg band Tinariwen, and several Afro-pop artists such as Salif Keita, the duo Amadou et Mariam, Oumou Sangare, and Habib Koité. Dance also plays a large role in Malian culture. Dance parties are common events among friends, and traditional mask dances are performed at ceremonial events."	Salif Keita
What country did Nigeria beat to win a Summer Olympics gold medal?	"Football is largely considered the Nigeria's national sport and the country has its own Premier League of football. Nigeria's national football team, known as the ""Super Eagles"", has made the World Cup on five occasions 1994, 1998, 2002, 2010, and most recently in 2014. In April 1994, the Super Eagles ranked 5th in the FIFA World Rankings, the highest ranking achieved by an African football team. They won the African Cup of Nations in 1980, 1994, and 2013, and have also hosted the U-17 & U-20 World Cup. They won the gold medal for football in the 1996 Summer Olympics (in which they beat Argentina) becoming the first African football team to win gold in Olympic Football."	Argentina
In what year was Switzerland last involved in a war internationally?	The establishment of the Swiss Confederation is traditionally dated to 1 August 1291, which is celebrated annually as the Swiss National Day. The country has a long history of armed neutrality—it has not been in a state of war internationally since 1815—and did not join the United Nations until 2002. Nevertheless, it pursues an active foreign policy and is frequently involved in peace-building processes around the world. In addition to being the birthplace of the Red Cross, Switzerland is home to numerous international organizations, including the second largest UN office. On the European level, it is a founding member of the European Free Trade Association, but notably it is not part of the European Union, nor the European Economic Area. However the country does participate in the Schengen Area and the EU's single market through a number of bilateral treaties.	1815
The first European university was created in what city?	Greeks have a long tradition of valuing and investing in paideia (education). Paideia was one of the highest societal values in the Greek and Hellenistic world while the first European institution described as a university was founded in 5th century Constantinople and operated in various incarnations until the city's fall to the Ottomans in 1453. The University of Constantinople was Christian Europe's first secular institution of higher learning since no theological subjects were taught, and considering the original meaning of the world university as a corporation of students, the world’s first university as well.	Constantinople
What sort of dielectric is used in low capacitance devices?	Most types of capacitor include a dielectric spacer, which increases their capacitance. These dielectrics are most often insulators. However, low capacitance devices are available with a vacuum between their plates, which allows extremely high voltage operation and low losses. Variable capacitors with their plates open to the atmosphere were commonly used in radio tuning circuits. Later designs use polymer foil dielectric between the moving and stationary plates, with no significant air space between them.	a vacuum
What is Jesse Prinz's profession?	Theories dealing with perception either use one or multiples perceptions in order to find an emotion (Goldie, 2007).A recent hybrid of the somatic and cognitive theories of emotion is the perceptual theory. This theory is neo-Jamesian in arguing that bodily responses are central to emotions, yet it emphasizes the meaningfulness of emotions or the idea that emotions are about something, as is recognized by cognitive theories. The novel claim of this theory is that conceptually-based cognition is unnecessary for such meaning. Rather the bodily changes themselves perceive the meaningful content of the emotion because of being causally triggered by certain situations. In this respect, emotions are held to be analogous to faculties such as vision or touch, which provide information about the relation between the subject and the world in various ways. A sophisticated defense of this view is found in philosopher Jesse Prinz's book Gut Reactions, and psychologist James Laird's book Feelings.	philosopher
What is dependent upon electrical potential energy?	Some types of energy are a varying mix of both potential and kinetic energy. An example is mechanical energy which is the sum of (usually macroscopic) kinetic and potential energy in a system. Elastic energy in materials is also dependent upon electrical potential energy (among atoms and molecules), as is chemical energy, which is stored and released from a reservoir of electrical potential energy between electrons, and the molecules or atomic nuclei that attract them.[need quotation to verify].The list is also not necessarily complete. Whenever physical scientists discover that a certain phenomenon appears to violate the law of energy conservation, new forms are typically added that account for the discrepancy.	Elastic energy in materials
How many countries have signed the Worst Forms Convention 183 (C182)?	In 1999, ILO helped lead the Worst Forms Convention 182 (C182), which has so far been signed upon and domestically ratified by 151 countries including the United States. This international law prohibits worst forms of child labour, defined as all forms of slavery and slavery-like practices, such as child trafficking, debt bondage, and forced labour, including forced recruitment of children into armed conflict. The law also prohibits the use of a child for prostitution or the production of pornography, child labour in illicit activities such as drug production and trafficking; and in hazardous work. Both the Worst Forms Convention (C182) and the Minimum Age Convention (C138) are examples of international labour standards implemented through the ILO that deal with child labour.	151
What was Glover's first single?	"23-year-old Candice Glover won the season with Kree Harrison taking the runner-up spot. Glover is the first female to win American Idol since Jordin Sparks. Glover released ""I Am Beautiful"" as a single while Harrison released ""All Cried Out"" immediately after the show. Glover sold poorly with her debut album, and this is also the first season that the runner-up was not signed by a music label."	I Am Beautiful
in the arms of EIC what was the lion holding in his forepaws	"The East India Company's arms, granted in 1698, were: ""Argent a cross Gules; in the dexter chief quarter an escutcheon of the arms of France and England quarterly, the shield ornamentally and regally crowned Or."" The crest was: ""A lion rampant guardant Or holding between the forepaws a regal crown proper."" The supporters were: ""Two lions rampant guardant Or, each supporting a banner erect Argent, charged with a cross Gules."" The motto was AUSPICIO REGIS ET SENATUS ANGLIÆ (Latin: By right of the King and the Senate of England)."	crown
Which type of cells in the brain are generated throughout your lifetime?	In humans and many other mammals, new neurons are created mainly before birth, and the infant brain contains substantially more neurons than the adult brain. There are, however, a few areas where new neurons continue to be generated throughout life. The two areas for which adult neurogenesis is well established are the olfactory bulb, which is involved in the sense of smell, and the dentate gyrus of the hippocampus, where there is evidence that the new neurons play a role in storing newly acquired memories. With these exceptions, however, the set of neurons that is present in early childhood is the set that is present for life. Glial cells are different: as with most types of cells in the body, they are generated throughout the lifespan.	Glial cells
Along with the Somali Youth League and Somali National League, what was an early Somali political organization?	Following World War II, Britain retained control of both British Somaliland and Italian Somaliland as protectorates. In 1945, during the Potsdam Conference, the United Nations granted Italy trusteeship of Italian Somaliland, but only under close supervision and on the condition — first proposed by the Somali Youth League (SYL) and other nascent Somali political organizations, such as Hizbia Digil Mirifle Somali (HDMS) and the Somali National League (SNL) — that Somalia achieve independence within ten years. British Somaliland remained a protectorate of Britain until 1960.	Hizbia Digil Mirifle Somali
The city is innovative becaus eit has access to what type of capital?	The city is considered highly innovative for a variety of reasons, including the presence of academia, access to venture capital, and the presence of many high-tech companies. The Route 128 corridor and Greater Boston continue to be a major center for venture capital investment, and high technology remains an important sector.	venture capital
Where was the ming capital?	"The dynasty was founded by the Jurchen Aisin Gioro clan in Manchuria. In the late sixteenth century, Nurhaci, originally a Ming vassal, began organizing Jurchen clans into ""Banners"", military-social units. Nurhaci formed these clans into a unified entity, the subjects of which became known collectively as the Manchu people. By 1636, his son Hong Taiji began driving Ming forces out of Liaodong and declared a new dynasty, the Qing. In 1644, peasant rebels led by Li Zicheng conquered the Ming capital Beijing. Rather than serve them, Ming general Wu Sangui made an alliance with the Manchus and opened the Shanhai Pass to the Banner Armies led by Prince Dorgon, who defeated the rebels and seized Beijing. The conquest of China proper was not completed until 1683 under the Kangxi Emperor (r. 1661–1722). The Ten Great Campaigns of the Qianlong Emperor from the 1750s to the 1790s extended Qing control into Central Asia. While the early rulers maintained their Manchu ways, and while their official title was Emperor they were known as khans to the Mongols and patronized Tibetan Buddhism, they governed using Confucian styles and institutions of bureaucratic government. They retained the imperial examinations to recruit Han Chinese to work under or in parallel with Manchus. They also adapted the ideals of the tributary system in international relations, and in places such as Taiwan, the Qing so-called internal foreign policy closely resembled colonial policy and control."	Beijing
What are the three constituents of the medical center at KU?	The University of Kansas Medical Center features three schools: the School of Medicine, School of Nursing, and School of Health Professions. Furthermore, each of the three schools has its own programs of graduate study. As of the Fall 2013 semester, there were 3,349 students enrolled at KU Med. The Medical Center also offers four year instruction at the Wichita campus, and features a medical school campus in Salina, Kansas that is devoted to rural health care.	the School of Medicine, School of Nursing, and School of Health Professions
