text	Aspect 1	Sentiment 1	Opinion 1	Opinion 2	Aspect 2	Sentiment 2	Aspect 3	Sentiment 3	Aspect 4	Sentiment 4	Opinion 3	Aspect 5	Sentiment 5	Aspect 6	Sentiment 6	Aspect 7	Sentiment 7	Opinion 4	Opinion 5	Aspect 8	Sentiment 8	Opinion 6	Opinion 7	Aspect 9	Sentiment 9	raw_text
the restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic taiwanese	round tables	positive	large	large							authentic															the restuarant itself is not large , but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic taiwanese
my husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had	portion	conflict	fine	best	french fries	positive																				my husband said he could 've eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had
the food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment	food	positive	delicious		specials	positive	regular menu-fare	positive	dishes	positive																the food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment
prices are in line	prices	neutral	in line																							prices are in line
the combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in ny	fresh tomato sauce	positive	fresh	fresh	fresh mozz cheese	positive	basil	positive	dough	positive	better	flour	positive	pizza	positive											the combination of fresh tomato sauce , fresh mozz cheese , basil and the dough they make with imported flour , makes this is one of the better pizza 's in ny
for all of you new to indian food, try the paneer roll, it is a piece of heaven	indian food	positive			paneer roll	positive																				for all of you new to indian food , try the paneer roll , it is a piece of heaven
both the fresh mozzerella slices and the plain cheese slice are phenomenal	fresh mozzerella slices	positive	fresh		plain cheese slice	positive																				both the fresh mozzerella slices and the plain cheese slice are phenomenal
it's constantly open, catering to the pakistani cabbies lined up on crosby st., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh)	food	positive	surprisingly fresh																							it 's constantly open , catering to the pakistani cabbies lined up on crosby st. , so there 's more turnover with the food than you 'd expect ( i.e. , surprisingly fresh )
i had filet mignon with garlic mash	filet mignon with garlic mash	neutral																								i had filet mignon with garlic mash
the waitstaff were attentive, polite and helpful - an impressive feat in such close quarters	waitstaff	positive	attentive	polite							helpful							impressive								the waitstaff were attentive , polite and helpful - an impressive feat in such close quarters
- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the peter's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad	bread	positive	tasty	delicious	pizza	positive	peter's favourite pizza with prosciutto and baby arugula	neutral	margarite pizza with cold prosciutto and baby arugula on top	neutral																- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes , however be warned that the peter 's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top , like a salad
yes, the prices are high, but i felt it was worth it	prices	conflict	high	worth																						yes , the prices are high , but i felt it was worth it
have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners	waiters	positive	helpful	busy																						have always found that the waiters will go out of their way to be helpful , despite the fact they are often busy with lots of diners
while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs	chef	positive	classical	innovative	cuisine	neutral	dishes	positive	indian	positive	tasty							genuinely	heavy							while this is n't classical restaurant fare , the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs
the owner truly caters to all your needs	owner	positive	caters																							the owner truly caters to all your needs
he takes real pride in his food and his business	food	positive																								he takes real pride in his food and his business
over the years, it has always provided a pleasurable dining experience with quality food and wine	dining	positive	pleasurable	quality	food	positive																				over the years , it has always provided a pleasurable dining experience with quality food and wine
the photobook menu was a cute touch, certainly helped my group and i pick the fried chicken, pork chop, and noodle dishes that we all ordered	menu	positive	cute		fried chicken	neutral	pork chop	neutral	noodle dishes	neutral																the photobook menu was a cute touch , certainly helped my group and i pick the fried chicken , pork chop , and noodle dishes that we all ordered
too large for just two people but nothing was left			large																							too large for just two people but nothing was left
a pleasant surprise			pleasant surprise																							a pleasant surprise
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!	open faced cheese sandwich	neutral			manager	negative																				i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !
we were fans of the half-price saturday night option until some inedible squid during a recent visit	half-price saturday night option	positive	inedible		squid	negative																				we were fans of the half-price saturday night option until some inedible squid during a recent visit
pizza is terrific, as is homemade pasta	pizza	positive	terrific		homemade pasta	positive																				pizza is terrific , as is homemade pasta
example is the soup which was about 6 oz for 12 dollars and the mushrooms where 12 for about 1oz	soup	positive			mushrooms	positive																				example is the soup which was about 6 oz for 12 dollars and the mushrooms where 12 for about 1oz
service is not exactly five star, but thats not really a big deal	service	conflict	five star																							service is not exactly five star , but thats not really a big deal
there are other people waiting!	waiting	negative																								there are other people waiting !
from beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations	beginning appetizers	positive	incredible	delicious	scallops	positive	chocolate souffle with rasberry mint sorbet	positive	taste	positive	delighted															from beginning appetizers , the scallops were incredible , to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations
consistently good japanese tapas	japanese tapas	positive	good																							consistently good japanese tapas
my goodness, everything from the fish to the rice to the seaweed was absolutely amazing	fish	positive			rice	positive	seaweed	positive																		my goodness , everything from the fish to the rice to the seaweed was absolutely amazing
this place started off a little iffy, but is now one of my favorite indian restaurants in nyc (and i'm indian, so i should know)			iffy	favorite																						this place started off a little iffy , but is now one of my favorite indian restaurants in nyc ( and i 'm indian , so i should know )
they also do a great job for restaurant week			great																							they also do a great job for restaurant week
the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had)	dishes	positive	unique	tasty	lamb sausages	positive	sardines with biscuits	positive	large whole shrimp	positive	fresh	pistachio ice cream	positive					large	amazing			best	freshest			the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i 've ever had )
the food is reliable and the price is moderate	food	positive	reliable		price	neutral																				the food is reliable and the price is moderate
while the ambiance and atmosphere were great, the food and service could have been a lot better	ambiance	positive	great		atmosphere	positive	food	negative	service	negative																while the ambiance and atmosphere were great , the food and service could have been a lot better
we were in search of food and stumbled on this block of indian restaurants on east sixth street	food	neutral																								we were in search of food and stumbled on this block of indian restaurants on east sixth street
planet thailand has always been a hit with me, i go there usually for the sushi, which is great, the thai food is excellent too	sushi	positive	great	excellent	thai food	positive																				planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too
very excited to hear that short-term chef jason narone has moved on, he truly was a low point of their sterling track record	chef	negative	excited																							very excited to hear that short-term chef jason narone has moved on , he truly was a low point of their sterling track record
well worth the trip, close to city hall and downtown subway stops			well worth																							well worth the trip , close to city hall and downtown subway stops
we recently decided to try this location, and to our delight, they have outdoor seating, perfect since i had my yorkie with me	outdoor seating	positive	delight	perfect																						we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me
my husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses	mesclun	positive	enjoyed		salmon	positive	ice cream	positive																		my husband had the mesclun , salmon , and ice cream and he enjoyed all 3 courses
we were told that the wait was about twenty minutes and there would be no problem for our pm curtain call	wait	neutral																								we were told that the wait was about twenty minutes and there would be no problem for our pm curtain call
the food is usually good but it certainly isn't a relaxing place to go	food	positive	good	relaxing	place	negative																				the food is usually good but it certainly is n't a relaxing place to go
super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!	staff	positive	friendly	knowledgable	bistro fare	positive	jazz brunch	positive	live jazz	positive	fabulous	chilaquiles	positive					wonderful	great			awesome				super friendly and knowledgable staff , fabulous bistro fare and a wonderful jazz brunch with great live jazz ( the chilaquiles were awesome !
the prices were fantastic	prices	positive																								the prices were fantastic
what a great place!			great																							what a great place !
still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house	bill	conflict	off-set		measures of liquers	positive																				still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house
the table service could have been a little more attentive but as someone who also works in the service industry, i understood they were busy	table service	conflict	attentive		service	neutral																				the table service could have been a little more attentive but as someone who also works in the service industry , i understood they were busy
it's not mind-blowing, but to me, thai food never is and never will be	thai food	neutral	mind-blowing																							it 's not mind-blowing , but to me , thai food never is and never will be
food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)	food	positive	good	longer	pork belly	negative	fat	negative																		food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience )
even though it is a little loud, you don't have to yell at each other to talk			loud																							even though it is a little loud , you do n't have to yell at each other to talk
i've been to sapphire twice and both times the food was fine, if not good	food	positive	fine																							i 've been to sapphire twice and both times the food was fine , if not good
it is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner	tables	negative	nosiy	close	place	positive					beautiful							enjoy	nice							it is kinda nosiy and the tables are close together but it 's still a beautiful place to enjoy a nice dinner
service was prompt, friendly and great	service	positive	friendly																							service was prompt , friendly and great
i haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil	lamb chop	positive	delicious	nice	salads	positive	lemon	positive	extra virgnin olive oil	positive																i have n't eat a lamb chop as delicious as that , the salads are really nice dressed with lemon and extra virgnin olive oil
the sushi was awful!	sushi	negative	awful																							the sushi was awful !
the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience	pastrami sandwich	positive	pleasurable		pickles	positive	beer	positive																		the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down , it was a pleasurable experience
late nite omelletes are not good here, there is no variety!	omelletes	negative	good																							late nite omelletes are not good here , there is no variety !
after all that, they complained to me about the small tip			small																							after all that , they complained to me about the small tip
it's a great place to pick up a cheap lunch or dinner	lunch	positive	great	cheap																						it 's a great place to pick up a cheap lunch or dinner
behind this counter, two men are squeezed in	counter	negative	squeezed																							behind this counter , two men are squeezed in
whenever you need a sushi fix, mizu will be there with quality fish and great service	sushi fix	positive	quality	great	fish	positive																				whenever you need a sushi fix , mizu will be there with quality fish and great service
our waitress was sweet and accomodating, not overbearing	waitress	positive	sweet	accomodating																						our waitress was sweet and accomodating , not overbearing
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them	table	negative			reservation sigh	neutral																				went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them
i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there	food	negative	disappointed																							i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there
the website and rating makes this place look wonderful but in reality it was very disappointing	place	conflict																								the website and rating makes this place look wonderful but in reality it was very disappointing
despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art	menu	negative	limited	perfection	food art	positive					fresh															despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful	outdoor atmosphere	positive																								the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful
it is not worth for that bucks			worth																							it is not worth for that bucks
brick oven gallery is my pick for best pizza restaurant anywhere	pizza	positive	best																							brick oven gallery is my pick for best pizza restaurant anywhere
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening	service	positive	great	great	food	positive	price	positive			reasonable							great								add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening
for many people, this may not seem like aunthentic thai food because most places in nyc arent quite authentic	thai food	negative																								for many people , this may not seem like aunthentic thai food because most places in nyc arent quite authentic
oh, don't even let me start with how expensive the bills were!	bills	negative	expensive																							oh , do n't even let me start with how expensive the bills were !
the scallion pancakes and fried dumplings were nothing out of the ordinary	scallion pancakes	neutral			fried dumplings	neutral																				the scallion pancakes and fried dumplings were nothing out of the ordinary
all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!	appetizers	positive	fabulous	watering	salads	positive	steak	positive	pasta	positive	delicious															all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! !
besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged 45 more than we should have been on our bill	table	negative	undercooked		dishes	negative	table	negative	served	negative																besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged 45 more than we should have been on our bill
the food now is inconsistent	food	negative																								the food now is inconsistent
you can also special order any kind of dumpling, etc	dumpling	positive																								you can also special order any kind of dumpling , etc
i was pretty much full after our fondue appetizer	fondue appetizer	neutral																								i was pretty much full after our fondue appetizer
the octopus eaters were floored by the octopus salad	octopus salad	positive																								the octopus eaters were floored by the octopus salad
we thought that this place is using too much of msg cooking in the foods	msg cooking	negative	too much																							we thought that this place is using too much of msg cooking in the foods
and the tom kha soup was pathetic	tom kha soup	negative																								and the tom kha soup was pathetic
i started out with a bombay beer which was big enough for two	bombay beer	positive	big																							i started out with a bombay beer which was big enough for two
the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date	decor	positive	vibrant	eye-pleasing	semi-private boths	positive	dining hall	positive			great															the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date
service was quick	service	positive																								service was quick
went there for an office lunch	office lunch	neutral																								went there for an office lunch
i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed!			disappointed																							i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed !
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable	sweet lassi	positive	excellent		lamb chettinad	positive	garlic naan	positive	rasamalai	negative																the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable
we've been following chef lyle's food around new york for 15 years and while remaining classic, his innovations with bistro fare have made us return and return	chef	positive	classic		food	positive	bistro fare	positive																		we 've been following chef lyle 's food around new york for 15 years and while remaining classic , his innovations with bistro fare have made us return and return
the best thing i tasted were the lambchops			best																							the best thing i tasted were the lambchops
the spicy tuna and salmon are the best we've ever had	spicy tuna	positive	best		salmon	positive																				the spicy tuna and salmon are the best we 've ever had
even though its good seafood, the prices are too high	seafood	positive	good		prices	negative																				even though its good seafood , the prices are too high
in addition, the food is very good and the prices are reasonable	food	positive	good		prices	positive																				in addition , the food is very good and the prices are reasonable
upon entering, we were greeted by the owners, steven and frederick, who went out of their way to be more than gracious hosts	owners	positive	gracious																							upon entering , we were greeted by the owners , steven and frederick , who went out of their way to be more than gracious hosts
been going here since it opened have seen the quality value decrease considerably	quality value	negative	decrease																							been going here since it opened have seen the quality value decrease considerably
meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices	meat dishes	neutral	large		vegetarian-friendly choices	positive																				meat dishes now adorn the selections , although there 's still a large number of vegetarian-friendly choices
i never had anything i didn't like here			like																							i never had anything i did n't like here
reasonable prices			reasonable																							reasonable prices
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration	service	positive	notch	complementary	amuse bouche	positive	tables	positive	dessert	positive																they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration
try the crunchy tuna, it is to die for	crunchy tuna	positive	die for																							try the crunchy tuna , it is to die for
all in all, this midtown gem instantly became one of my favorite sushi restaurants in the city	sushi	positive	favorite																							all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city
it is a lot of fun with live entertainment and all kinds of disney type special effects	live entertainment	positive	fun	special	special effects	positive																				it is a lot of fun with live entertainment and all kinds of disney type special effects
no refills on fountain drinks, though	fountain drinks	negative																								no refills on fountain drinks , though
wow over 100 beers to choose from	beers	positive																								wow over 100 beers to choose from
be careful of portions - they're huge	portions	positive																								be careful of portions - they 're huge
the steak tartare is a great bet, they fix it for you at the table	steak tartare	positive	great																							the steak tartare is a great bet , they fix it for you at the table
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal	crab croquette apt	negative	like																							my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal
plus, on wednesday nights the house wine is unlimited!	house wine	positive	unlimited																							plus , on wednesday nights the house wine is unlimited !
it is by far my favorite restaurant in brooklyn			favorite																							it is by far my favorite restaurant in brooklyn
now it's so crowded and loud you can't even talk to the person next to you			crowded	loud																						now it 's so crowded and loud you ca n't even talk to the person next to you
love pizza 33..			love																							love pizza 33..
even my indian friend couldn't believe how good and tasty everything was			good	tasty																						even my indian friend could n't believe how good and tasty everything was
i'm from england, and haru's was the best i had in nyc			best																							i 'm from england , and haru 's was the best i had in nyc
the dim sum servings here are a bit larger than i'm used to	dim sum servings	neutral	larger																							the dim sum servings here are a bit larger than i 'm used to
however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup	management	neutral	big		door	positive	glass front	negative																		however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup
we won't go to this place again for a good meal			good																							we wo n't go to this place again for a good meal
barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance	barbecued codfish	positive	moist	fabulous	texture	conflict	seasoning	negative	spice rub	negative	bland	herb mix	negative	sauce	negative			overwhelmed								barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance
after dinner, take your date to the huge dance floor, probably one of the biggest you'll see in ny	dinner	neutral	huge	biggest	dance floor	positive																				after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny
has the chef and owner changed	chef	neutral			owner	neutral																				has the chef and owner changed
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience	dinner	positive	satisfied																							my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience
i absolutely loved this place			loved																							i absolutely loved this place
but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars	bacon	negative	hurt		platter	negative	in sandwiches	negative	frying	negative		bacos	negative													but do n't ever order bacon late at nite ( either platter or in sandwiches , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars
outstanding bagels, but you get what you pay for	bagels	positive	outstanding																							outstanding bagels , but you get what you pay for
pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!	pizza	positive	best	freshly baked	pizza	positive	toppings	neutral	crust	positive		bread	positive													pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !
if you're in town, it's worth searching for another place			worth																							if you 're in town , it 's worth searching for another place
i found it on a cold night, the perfect spot to warm up	spot	positive	perfect																							i found it on a cold night , the perfect spot to warm up
they even have a section in the menu called american chinese food!	menu	negative			american chinese food	negative																				they even have a section in the menu called american chinese food !
kalbi and nebbiolo do work together	kalbi	neutral			nebbiolo	neutral																				kalbi and nebbiolo do work together
best italian food i ever had (and being italian, that means alot)	italian food	positive	best																							best italian food i ever had ( and being italian , that means alot )
i will recommend scopa to all of my friends for a place to go for wonderful italian food	italian food	positive	recommend	wonderful																						i will recommend scopa to all of my friends for a place to go for wonderful italian food
located at the end of a magnificent block	located	positive																								located at the end of a magnificent block
this restaurant is not worth the time, effort, or money to say the least			worth																							this restaurant is not worth the time , effort , or money to say the least
looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen	room	neutral	enjoying	real	meal	positive	clubhouse	negative			real							fabulous								looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen
keep up the good work guys!			good																							keep up the good work guys !
hurley's is terrific!			terrific																							hurley 's is terrific !
they don't walk around with the trays of dim sum	trays of dim sum	neutral																								they do n't walk around with the trays of dim sum
great bar, most gorgeous bartenders you've ever seen (specifically the blond lady)	bar	positive	great	gorgeous	bartenders	positive																				great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady )
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order	dessert	neutral			waitress	negative	bill	neutral																		we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order
i really loved the different and inovated touch that's the cheff gives to the food	cheff	positive	loved	different							inovated															i really loved the different and inovated touch that 's the cheff gives to the food
they came out over cooked and the cheese was almost non existant	cheese	negative	over cooked	non existant																						they came out over cooked and the cheese was almost non existant
my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary, and to our surprise it was fantastic			great																							my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary , and to our surprise it was fantastic
the food is good, especially their more basic dishes, and the drinks are delicious	food	positive	good		dishes	positive	drinks	positive																		the food is good , especially their more basic dishes , and the drinks are delicious
but the main hit was the whole grilled fish	whole grilled fish	positive	hit																							but the main hit was the whole grilled fish
i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for 49	tuna tartare	positive			sake	positive	mushroom ravioli	positive	pinot noir	positive		chocolate sampler	positive	dessert wine	positive											i had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for 49
on a hot day it was fabulous to stop in and enjoy lunch			fabulous	enjoy																						on a hot day it was fabulous to stop in and enjoy lunch
the food is delicious and beautifully prepared along with the friendly and personable service	food	positive	delicious	beautifully							friendly							personable								the food is delicious and beautifully prepared along with the friendly and personable service
i usually go there later at night when i get off work so i don't have to deal with crowds or lines	crowds	negative																								i usually go there later at night when i get off work so i do n't have to deal with crowds or lines
pizza here is consistently good	pizza	positive																								pizza here is consistently good
we had a great tiem watching the shows and characters and ar food was just what we were looking for	shows	positive	great		characters	positive	food	positive																		we had a great tiem watching the shows and characters and ar food was just what we were looking for
after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations	waiter	negative			beers	neutral	manager	negative																		after 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the manager approached and told us they needed the table for people with reservations
wouldn't recomend it for dinner!	dinner	negative	recomend																							would n't recomend it for dinner !
sauce was watery and the food didn't have much flavor	sauce	negative	watery		food	negative																				sauce was watery and the food did n't have much flavor
my husband and i enjoy sangria			enjoy																							my husband and i enjoy sangria
but after last night, spice grill is the only place i'm eating indian cuisine	indian cuisine	positive																								but after last night , spice grill is the only place i 'm eating indian cuisine
we both opted for a pasta dish and they were served timely and fresh	pasta dish	positive	timely		served	positive																				we both opted for a pasta dish and they were served timely and fresh
first the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course	bread	negative	wrong		appetizer	neutral	glass of wine	neutral	main course	neutral																first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course
not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!	neighborhood	positive	great	great	food	positive																				not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !
in an area sadly lacking in decent thai food, this is one of the best spots	thai food	positive	decent	best																						in an area sadly lacking in decent thai food , this is one of the best spots
make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to time square	reservations	negative	delayed		hosting staff	negative	seating	negative	reservation	neutral																make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to time square
the food was average or above including some surprising tasty dishes	food	positive	average or above	tasty																						the food was average or above including some surprising tasty dishes
other apetizers and food	apetizers	neutral																								other apetizers and food
the noodle and rices dishes taste great	noodle and rices dishes	positive																								the noodle and rices dishes taste great
the food's as good as ever	food	positive	good																							the food 's as good as ever
the crust is thin, the ingredients are fresh and the staff is friendly	crust	positive	thin	fresh	ingredients	positive	staff	positive																		the crust is thin , the ingredients are fresh and the staff is friendly
also a little more expensive than your average bagel place	bagel	neutral	expensive																							also a little more expensive than your average bagel place
the food was undercooked-the sauce watery, and the vegetables raw	food	negative	watery		sauce	negative	vegetables	negative																		the food was undercooked-the sauce watery , and the vegetables raw
the secret is the lunch menu which offers a complimentary appetizer with every entree ordered	lunch menu	positive	secret	complimentary	appetizer	positive	entree	positive																		the secret is the lunch menu which offers a complimentary appetizer with every entree ordered
i absolutely love this place!!!			love																							i absolutely love this place ! ! !
the rice was poor quality and was cooked so badly it was hard	rice	negative	poor	badly	quality	negative	cooked	negative																		the rice was poor quality and was cooked so badly it was hard
we had champagne and caviar and felt like princesses!	champagne	positive			caviar	positive																				we had champagne and caviar and felt like princesses !
the shrimp scampi was excellent and the antipasti were plentiful	shrimp scampi	positive	excellent		antipasti	positive																				the shrimp scampi was excellent and the antipasti were plentiful
when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort	dessert	neutral			waiter	positive																				when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort
if it's just a quick martini at the bar (which i recommend jeffery's) or a mind blowing roast chicken, go to village!	martini	neutral	quick	recommend	bar	neutral	roast chicken	positive			mind blowing															if it 's just a quick martini at the bar ( which i recommend jeffery 's ) or a mind blowing roast chicken , go to village !
there was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice	wait	negative	long		table	neutral	insde table	positive																		there was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice
i would definently recommend this restaurant			recommend																							i would definently recommend this restaurant
if you like spicy food get the chicken vindaloo	spicy food	neutral	like		chicken vindaloo	neutral																				if you like spicy food get the chicken vindaloo
i love this place!			love																							i love this place !
i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials	lunch specials	positive	disappointed	amazingly delicious							cheap															i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials
so much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers	bar food	positive	more	enjoy	menu	positive	hand-crafted beers	positive			hand-crafted															so much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers
a big disappointment, all around			disappointment																							a big disappointment , all around
no free drink			free																							no free drink
i would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine			fine	tasty																						i would say that all was fine and tasty but the heaviness on my stomach someting that i ca n't not mention or undermine
this is my first time writing a review for a restaurant because the food and service was excellent	food	positive			service	positive																				this is my first time writing a review for a restaurant because the food and service was excellent
don't waste money on decor			waste																							do n't waste money on decor
they also have a back garden open in the summer - cute and french with outdoor seatin g - what more could you ask for	back garden	positive	cute		outdoor seatin	positive																				they also have a back garden open in the summer - cute and french with outdoor seatin g - what more could you ask for
i have never before eaten 40 pieces of relatively good nigiri			good																							i have never before eaten 40 pieces of relatively good nigiri
i'd call it an 'italian dinner'	dinner	neutral																								i 'd call it an 'italian dinner '
while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck	place	negative	unique		drinks	positive																				while the place is not a hotspot hangout , the drinks are unique and pack a lot of bang for the buck
have frequented 'ino for several years and the food remains excellent	food	positive																								have frequented 'ino for several years and the food remains excellent
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it	food	positive	excellent	pricey	quality of food	positive	priced	neutral			well worth															all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it
my friend got the mushroom pizza which tasted better	mushroom pizza	positive																								my friend got the mushroom pizza which tasted better
