text	label_text
it 's tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too .	negative
each of these stories has the potential for touched by an angel simplicity and sappiness , but thirteen conversations about one thing , for all its generosity and optimism , never resorts to easy feel-good sentiments .	very positive
there 's ... an underlying old world sexism to monday morning that undercuts its charm .	negative
what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so poorly plotted and scripted .	very negative
i liked a lot of the smaller scenes .	positive
some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity .	negative
beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .	positive
nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .	positive
bring tissues .	positive
... hopefully it 'll be at the dollar theatres by the time christmas rolls around .	neutral
an enthralling , entertaining feature .	very positive
as a director , paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip .	very positive
well-made but mush-hearted .	positive
labute masterfully balances both traditional or modern stories together in a manner that one never overwhelms the other .	very positive
assured , glossy and shot through with brittle desperation .	positive
a damn fine and a truly distinctive and a deeply pertinent film .	very positive
filmmaker stacy peralta has a flashy editing style that does n't always jell with sean penn 's monotone narration , but he respects the material without sentimentalizing it .	positive
despite its promising cast of characters , big trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '	negative
a surprisingly sweet and gentle comedy .	positive
... begins with promise , but runs aground after being snared in its own tangled plot .	negative
although what time offers tsai 's usual style and themes , it has a more colorful , more playful tone than his other films .	very positive
a dull , inconsistent , dishonest female bonding picture .	very negative
a must-see for fans of thoughtful war films and those interested in the sights and sounds of battle .	very positive
with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill .	very positive
by no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .	negative
it has that rare quality of being able to creep the living hell out of you ...	very positive
it 's not difficult to spot the culprit early-on in this predictable thriller .	neutral
i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !	very positive
what goes on for the 110 minutes of `` panic room '' is a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals .	negative
if you do n't flee , you might be seduced .	neutral
in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little .	very negative
the script was reportedly rewritten a dozen times -- either 11 times too many or else too few .	very negative
it may sound like a mere disease-of - the-week tv movie , but a song for martin is made infinitely more wrenching by the performances of real-life spouses seldahl and wollter .	neutral
this one is certainly well-meaning , but it 's also simple-minded and contrived .	neutral
the master of disguise may have made a great saturday night live sketch , but a great movie it is not .	negative
it 's not a classic spy-action or buddy movie , but it 's entertaining enough and worth a look .	neutral
if we 're to slap protagonist genevieve leplouff because she 's french , do we have that same option to slap her creators because they 're clueless and inept ?	very negative
i 've had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .	negative
i 've seen some bad singer-turned actors , but lil bow wow takes the cake .	negative
`` nicholas nickleby '' is a perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year .	positive
if you already like this sort of thing , this is that sort of thing all over again .	neutral
it wo n't hold up over the long haul , but in the moment , finch 's tale provides the forgettable pleasures of a saturday matinee .	positive
was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz ?	very negative
how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not .	positive
a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains ... crossroads is never much worse than bland or better than inconsequential .	very negative
pretty good little movie .	positive
if nothing else , `` rollerball '' 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j.	negative
angel presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale .	positive
nemesis suffers from a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme .	negative
even when he 's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work .	positive
the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile , and in the way the ivan character accepts the news of his illness so quickly but still finds himself unable to react .	positive
-lrb- t -rrb- he film is never sure to make a clear point -- even if it seeks to rely on an ambiguous presentation .	negative
this movie is about the worst thing chan has done in the united states .	very negative
amazing !	very positive
the ya-ya 's have many secrets and one is - the books are better .	very negative
the plot 's contrivances are uncomfortably strained .	negative
a thoroughly entertaining comedy that uses grant 's own twist of acidity to prevent itself from succumbing to its own bathos .	very positive
kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .	very positive
-lrb- allen 's -rrb- best works understand why snobbery is a better satiric target than middle-america diversions could ever be .	positive
the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .	positive
we 've liked klein 's other work but rollerball left us cold .	very negative
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .	very positive
a markedly inactive film , city is conversational bordering on confessional .	very negative
clever and unflinching in its comic barbs , slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .	very positive
soderbergh , like kubrick before him , may not touch the planet 's skin , but understands the workings of its spirit .	very positive
there is no denying the power of polanski 's film ...	positive
to be oblivious to the existence of this film would be very sweet indeed .	negative
though it goes further than both , anyone who has seen the hunger or cat people will find little new here , but a tasty performance from vincent gallo lifts this tale of cannibal lust above the ordinary .	positive
however stale the material , lawrence 's delivery remains perfect ; his great gift is that he can actually trick you into thinking some of this worn-out , pandering palaver is actually funny .	neutral
little more than a super-sized infomercial for the cable-sports channel and its summer x games .	neutral
the beautifully choreographed kitchen ballet is simple but absorbing .	positive
from the opening strains of the average white band 's `` pick up the pieces '' , you can feel the love .	positive
empire ca n't make up its mind whether it wants to be a gangster flick or an art film .	negative
the result is so tame that even slightly wised-up kids would quickly change the channel .	negative
a penetrating , potent exploration of sanctimony , self-awareness , self-hatred and self-determination .	positive
thirteen conversations about one thing lays out a narrative puzzle that interweaves individual stories , and , like a mobius strip , elliptically loops back to where it began .	positive
director peter kosminsky gives these women a forum to demonstrate their acting ` chops ' and they take full advantage .	positive
storytelling feels slight .	negative
witty , vibrant , and intelligent .	positive
while we want macdowell 's character to retrieve her husband , we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her .	neutral
despite its shortcomings , girls ca n't swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the french coming-of-age genre .	positive
interesting and thoroughly unfaithful version of carmen	positive
thanks to a small star with big heart , this family film sequel is plenty of fun for all .	very positive
for most of the distance the picture provides a satisfyingly unsettling ride into the dark places of our national psyche .	positive
it 's a smart , funny look at an arcane area of popular culture , and if it is n't entirely persuasive , it does give exposure to some talented performers .	positive
we get the comedy we settle for .	negative
eerily accurate depiction of depression .	negative
schrader aims to present an unflinching look at one man 's downfall , brought about by his lack of self-awareness .	negative
i 'm not saying that ice age does n't have some fairly pretty pictures , but there 's not enough substance in the story to actually give them life .	neutral
feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .	negative
extraordinary debut from josh koury .	very positive
it 's not life-affirming -- its vulgar and mean , but i liked it .	neutral
the pinochet case is a searing album of remembrance from those who , having survived , suffered most .	neutral
... a bland murder-on-campus yawner .	very negative
cannon 's confidence and laid-back good spirits are , with the drumming routines , among the film 's saving graces .	positive
just like a splendid meal , red dragon satisfies -- from its ripe recipe , inspiring ingredients , certified cuisine and palatable presentation .	very positive
not as good as the original , but what is ...	neutral
feels more like a rejected x-files episode than a credible account of a puzzling real-life happening .	very negative
while certain cues , like the happy music , suggest that this movie is supposed to warm our hearts , jeong-hyang lee 's film is just as likely to blacken that organ with cold vengefulness .	neutral
features what is surely the funniest and most accurate depiction of writer 's block ever .	very positive
admirably ambitious but self-indulgent .	neutral
whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us .	positive
surprisingly powerful and universal .	very positive
this rough trade punch-and-judy act did n't play well then and it plays worse now .	neutral
the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive .	negative
even murphy 's expert comic timing and famed charisma ca n't rescue this effort .	negative
a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .	very positive
an intelligent , multi-layered and profoundly humanist -lrb- not to mention gently political -rrb- meditation on the values of knowledge , education , and the affects of cultural and geographical displacement .	very positive
massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -lrb- and ultimately the victim -rrb- of history .	neutral
if hill is n't quite his generation 's don siegel -lrb- or robert aldrich -rrb- , it 's because there 's no discernible feeling beneath the chest hair ; it 's all bluster and cliché .	very negative
and neither do cliches , no matter how ` inside ' they are .	negative
strictly a ` guy 's film ' in the worst sense of the expression .	negative
a lightweight , uneven action comedy that freely mingles french , japanese and hollywood cultures .	negative
irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free .	very negative
can you bear the laughter ?	positive
`` abandon '' will leave you wanting to abandon the theater .	very negative
the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .	very negative
not as good as the full monty , but a really strong second effort .	positive
asks what truth can be discerned from non-firsthand experience , and specifically questions cinema 's capability for recording truth .	positive
audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , but otherwise the production is suitably elegant .	positive
... a solid , unassuming drama .	positive
a formula family tearjerker told with a heavy irish brogue ... accentuating , rather than muting , the plot 's saccharine thrust .	positive
ok arthouse .	neutral
it 's fairly solid -- not to mention well edited so that it certainly does n't feel like a film that strays past the two and a half mark .	positive
the holiday message of the 37-minute santa vs. the snowman leaves a lot to be desired .	negative
a vile , incoherent mess ... a scummy ripoff of david cronenberg 's brilliant ` videodrome . '	very negative
discursive but oddly riveting documentary .	positive
what 's most offensive is n't the waste of a good cast , but the film 's denial of sincere grief and mourning in favor of bogus spiritualism .	very negative
like a medium-grade network sitcom -- mostly inoffensive , fitfully amusing , but ultimately so weightless that a decent draft in the auditorium might blow it off the screen .	negative
there 's an epic here , but you have to put it together yourself .	neutral
a little melodramatic , but with enough hope to keep you engaged .	positive
not only is it a charming , funny and beautifully crafted import , it uses very little dialogue , making it relatively effortless to read and follow the action at the same time .	very positive
just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be .	negative
though it lacks the utter authority of a genre gem , there 's a certain robustness to this engaging mix of love and bloodletting .	positive
all the filmmakers are asking of us , is to believe in something that is improbable .	neutral
it 's touching and tender and proves that even in sorrow you can find humor .	positive
collapses after 30 minutes into a slap-happy series of adolescent violence .	very negative
a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth .	positive
payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human .	positive
a surprisingly flat retread , hobbled by half-baked setups and sluggish pacing .	very negative
fierce , glaring and unforgettable .	positive
the film does n't show enough of the creative process or even of what was created for the non-fan to figure out what makes wilco a big deal .	negative
there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies .	positive
a lot more dimensional and complex than its sunny disposition would lead you to believe .	positive
miller has crafted an intriguing story of maternal instincts and misguided acts of affection .	positive
like these russo guys lookin ' for their mamet instead found their sturges .	neutral
sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .	negative
for single digits kidlets stuart little 2 is still a no brainer .	neutral
an instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product .	negative
some movies suck you in despite their flaws , and heaven is one such beast .	very positive
with a `` spy kids '' sequel opening next week , why bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni ?	negative
muddled , melodramatic paranormal romance is an all-time low for kevin costner .	very negative
in a summer of clones , harvard man is something rare and riveting : a wild ride that relies on more than special effects .	very positive
so original in its base concept that you can not help but get caught up .	very positive
but even then , i 'd recommend waiting for dvd and just skipping straight to her scenes .	negative
this new zealand coming-of-age movie is n't really about anything .	negative
quitting offers piercing domestic drama with spikes of sly humor .	positive
mama africa pretty much delivers on that promise .	positive
john carlen 's script is full of unhappy , two-dimensional characters who are anything but compelling .	neutral
we hate -lrb- madonna -rrb- within the film 's first five minutes , and she lacks the skill or presence to regain any ground .	negative
much smarter and more attentive than it first sets out to be .	positive
one regards reign of fire with awe .	very positive
it 's tough to tell which is in more abundant supply in this woefully hackneyed movie , directed by scott kalvert , about street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo .	negative
the story is also as unoriginal as they come , already having been recycled more times than i 'd care to count .	negative
you 've already seen city by the sea under a variety of titles , but it 's worth yet another visit .	positive
journalism of the 1960s .	neutral
in one scene , we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climactic shootout -- and meat loaf explodes .	negative
is the kind of movie that 's critic-proof , simply because it aims so low .	negative
to the civilized mind , a movie like ballistic : ecks vs. sever is more of an ordeal than an amusement .	very negative
a different movie -- sometimes tedious -- by a director many viewers would like to skip but film buffs should get to know .	positive
my precious new star wars movie is a lumbering , wheezy drag ...	very negative
a dull , simple-minded and stereotypical tale of drugs , death and mind-numbing indifference on the inner-city streets .	very negative
throw smoochy from the train !	negative
an alternately raucous and sappy ethnic sitcom ... you 'd be wise to send your regrets .	negative
none of this is half as moving as the filmmakers seem to think .	negative
the heedless impetuousness of youth is on full , irritating display in -lrb- this -rrb- meandering and pointless french coming-of-age import from writer-director anne-sophie birot .	very negative
watching e.t now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision .	neutral
a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction .	very negative
irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .	very positive
a miraculous movie , i 'm going home is so slight , yet overflows with wisdom and emotion .	very positive
the story 's pathetic and the gags are puerile . .	very negative
showtime is n't particularly assaultive , but it can still make you feel that you never want to see another car chase , explosion or gunfight again .	negative
by the final whistle you 're convinced that this mean machine was a decent tv outing that just does n't have big screen magic .	negative
first , for a movie that tries to be smart , it 's kinda dumb .	negative
and people make fun of me for liking showgirls .	negative
the performances are all solid ; it merely lacks originality to make it a great movie .	neutral
... the story simply putters along looking for astute observations and coming up blank .	negative
it has a caffeinated , sloppy brilliance , sparkling with ideas you wish had been developed with more care , but animated by an energy that puts the dutiful efforts of more disciplined grade-grubbers to shame .	positive
brings awareness to an issue often overlooked -- women 's depression .	neutral
if you 're not deeply touched by this movie , check your pulse .	very positive
whether it 's the worst movie of 2002 , i ca n't say for sure : memories of rollerball have faded , and i skipped country bears .	negative
children , christian or otherwise , deserve to hear the full story of jonah 's despair -- in all its agonizing , catch-22 glory -- even if they spend years trying to comprehend it .	positive
`` i blame all men for war , '' -lrb- the warden 's daughter -rrb- tells her father .	neutral
muccino , who directed from his own screenplay , is a canny crowd pleaser , and the last kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex .	very positive
has a solid emotional impact .	positive
dogtown is hollow , self-indulgent , and - worst of all - boring .	negative
the sweetest thing leaves a bitter taste .	very negative
one of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch .	negative
has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they 're not interested .	positive
lawrence should stick to his day job .	negative
by turns numbingly dull-witted and disquietingly creepy .	negative
buy is an accomplished actress , and this is a big , juicy role .	positive
maid in manhattan proves that it 's easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies .	very negative
thought-provoking and stylish , if also somewhat hermetic .	positive
a cleverly crafted but ultimately hollow mockumentary .	negative
one of the film 's most effective aspects is its tchaikovsky soundtrack of neurasthenic regret .	neutral
jacquot has filmed the opera exactly as the libretto directs , ideally capturing the opera 's drama and lyricism .	positive
the misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten .	very negative
from a deceptively simple premise , this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .	very positive
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .	neutral
unexpected , and often contradictory , truths emerge .	positive
has the capability of effecting change and inspiring hope .	positive
even if you 're an elvis person , you wo n't find anything to get excited about on this dvd .	very negative
together writer-director danny verete 's three tales comprise a powerful and reasonably fulfilling gestalt .	positive
writer\/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable .	positive
reyes ' word processor .	neutral
goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... but she and writing partner laurence coriat do n't manage an equally assured narrative coinage .	positive
the script is smart and dark - hallelujah for small favors .	positive
even though we know the outcome , the seesawing of the general 's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .	positive
you 're not merely watching history , you 're engulfed by it .	very positive
i am more offended by his lack of faith in his audience than by anything on display here .	negative
we 're drawn in by the dark luster .	positive
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil .	negative
it 's not a great monster movie .	negative
it 's a lovely , sad dance highlighted by kwan 's unique directing style .	very positive
it 's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead .	negative
the all-french cast is marveilleux .	very positive
wanker goths are on the loose !	neutral
if the title is a jeopardy question , then the answer might be `` how does steven seagal come across these days ? ''	negative
the emperor 's club , ruthless in its own placid way , finds one of our most conservative and hidebound movie-making traditions and gives it new texture , new relevance , new reality .	very positive
the warnings to resist temptation in this film ... are blunt and challenging and offer no easy rewards for staying clean .	neutral
that storytelling has value can not be denied .	very positive
the whole thing comes off like a particularly amateurish episode of bewitched that takes place during spring break .	negative
it 's hard to believe that something so short could be so flabby .	negative
it establishes its ominous mood and tension swiftly , and if the suspense never rises to a higher level , it is nevertheless maintained throughout .	positive
solondz may well be the only one laughing at his own joke	negative
deep intelligence and a warm , enveloping affection breathe out of every frame .	very positive
swinging , the film makes it seem , is not a hobby that attracts the young and fit .	negative
there 's a reason why halftime is only fifteen minutes long .	negative
a tasty slice of droll whimsy .	neutral
winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .	positive
in its own floundering way , it gets to you .	positive
behind the glitz , hollywood is sordid and disgusting .	very negative
this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago .	negative
with very little to add beyond the dark visions already relayed by superb recent predecessors like swimming with sharks and the player , this latest skewering ... may put off insiders and outsiders alike .	negative
significantly better than its 2002 children 's - movie competition .	positive
you can thank me for this .	neutral
this is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice .	very positive
cox creates a fluid and mesmerizing sequence of images to match the words of nijinsky 's diaries .	positive
the fast runner ' transports the viewer into an unusual space	neutral
with the exception of mccoist , the players do n't have a clue on the park .	negative
no amount of good acting is enough to save oleander 's uninspired story .	negative
everyone 's to blame here .	negative
evokes the 19th century with a subtlety that is an object lesson in period filmmaking .	positive
an odd , haphazard , and inconsequential romantic comedy .	negative
... another example of how sandler is losing his touch .	negative
an awful lot like one of -lrb- spears ' -rrb- music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it .	very negative
stale and clichéd to a fault .	very negative
... built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids .	negative
zellweger 's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a	negative
holofcener rejects patent solutions to dramatize life 's messiness from inside out , in all its strange quirks .	very positive
it 's got some pretentious eye-rolling moments and it did n't entirely grab me , but there 's stuff here to like .	neutral
i still want my money back .	very negative
no one involved , save dash , shows the slightest aptitude for acting , and the script , credited to director abdul malik abbott and ernest ` tron ' anderson , seems entirely improvised .	very negative
it 's the kind of effectively creepy-scary thriller that has you fixating on a far corner of the screen at times because your nerves just ca n't take it any more .	very positive
narratively , trouble every day is a plodding mess .	negative
well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .	positive
if there 's no art here , it 's still a good yarn -- which is nothing to sneeze at these days .	positive
ranges from laugh-out-loud hilarious to wonder-what - time-it-is tedious .	neutral
the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge .	very negative
its sheer dynamism is infectious .	positive
the film is reasonably entertaining , though it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy .	positive
dark and disturbing , yet compelling to watch .	neutral
simultaneously heart-breaking and very funny , the last kiss is really all about performances .	positive
start reading your scripts before signing that dotted line .	negative
bogs down badly as we absorb jia 's moody , bad-boy behavior which he portrays himself in a one-note performance .	neutral
jackson and co have brought back the value and respect for the term epic cinema .	positive
a pathetically inane and unimaginative cross between xxx and vertical limit .	negative
max pokes , provokes , takes expressionistic license and hits a nerve ... as far as art is concerned , it 's mission accomplished .	positive
the power of shanghai ghetto , a documentary by dana janklowicz-mann and amir mann , rests in the voices of men and women , now in their 70s , who lived there in the 1940s .	positive
in a word : no. .	neutral
there are many things that solid acting can do for a movie , but crafting something promising from a mediocre screenplay is not one of them .	neutral
` punch-drunk love is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in . '	very negative
a sentimental mess that never rings true .	very negative
a fascinating case study of flower-power liberation -- and the price that was paid for it .	very positive
-lrb- janey -rrb- forgets about her other obligations , leading to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies .	negative
ca n't get enough of libidinous young city dwellers ?	neutral
would i see it again ?	neutral
the only problem is that , by the end , no one in the audience or the film seems to really care .	very negative
a film without surprise geared toward maximum comfort and familiarity .	negative
... although this idea is `` new '' the results are tired .	negative
remarkable for its excellent storytelling , its economical , compressed characterisations and for its profound humanity , it 's an adventure story and history lesson all in one .	very positive
mike white 's deft combination of serious subject matter and dark , funny humor make `` the good girl '' a film worth watching .	very positive
a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness is ultimately thoughtful without having much dramatic impact .	positive
this may be the first cartoon ever to look as if it were being shown on the projection television screen of a sports bar .	negative
it 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ... grant and bullock make it look as though they are having so much fun .	very positive
the trouble is , its filmmakers run out of clever ideas and visual gags about halfway through .	negative
even when crush departs from the 4w formula ... it feels like a glossy rehash .	negative
at its worst the screenplay is callow , but at its best it is a young artist 's thoughtful consideration of fatherhood .	neutral
nair does n't treat the issues lightly .	positive
ana 's journey is not a stereotypical one of self-discovery , as she 's already comfortable enough in her own skin to be proud of her rubenesque physique ...	neutral
a compelling motion picture that illustrates an american tragedy .	very positive
it 's that painful .	very negative
smart , sassy interpretation of the oscar wilde play .	very positive
there 's nothing more satisfying during a summer of event movies than a spy thriller like the bourne identity that 's packed with just as much intelligence as action .	positive
... if you 're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .	neutral
though writer\/director bart freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of crudup 's anchoring performance .	positive
the early and middle passages are surprising in how much they engage and even touch us .	very positive
but be warned , you too may feel time has decided to stand still .	neutral
-lrb- cho 's face is -rrb- an amazing slapstick instrument , creating a scrapbook of living mug shots .	positive
if ever such a dependable concept was botched in execution , this is it .	very negative
his -lrb- nelson 's -rrb- screenplay needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting matches about it .	negative
terminally brain dead production .	very negative
it depends on how well flatulence gags fit into your holiday concept .	neutral
-lrb- grant -rrb- goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .	positive
adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio .	neutral
the movie suffers from two fatal ailments -- a dearth of vitality and a story that 's shapeless and uninflected .	very negative
well-meaning but inert .	neutral
bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly .	negative
while most films these days are about nothing , this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world .	positive
one senses in world traveler and in his earlier film that freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact .	negative
well-meant but unoriginal .	negative
it 's an effort to watch this movie , but it eventually pays off and is effective if you stick with it .	positive
it 's burns ' visuals , characters and his punchy dialogue , not his plot , that carry waydowntown .	positive
the real triumphs in igby come from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as a cruel but weirdly likable wasp matron .	positive
the quiet american is n't a bad film , it 's just one that could easily wait for your pay per view dollar .	negative
no. .	negative
kapur weighs down the tale with bogus profundities .	negative
my big fat greek wedding is that rare animal known as ' a perfect family film , ' because it 's about family .	positive
even though many of these guys are less than adorable -lrb- their lamentations are pretty much self-centered -rrb- , there 's something vital about the movie .	positive
while it may not add up to the sum of its parts , holofcener 's film offers just enough insight to keep it from being simpleminded , and the ensemble cast is engaging enough to keep you from shifting in your chair too often .	positive
an ugly , revolting movie .	negative
if you are into splatter movies , then you will probably have a reasonably good time with the salton sea .	positive
the characterizations and dialogue lack depth or complexity , with the ironic exception of scooter .	negative
shanghai ghetto may not be as dramatic as roman polanski 's the pianist , but its compassionate spirit soars every bit as high .	very positive
but it 's hardly a necessary enterprise .	negative
ratliff 's two previous titles , plutonium circus and purgatory county show his penchant for wry , contentious configurations , and this film is part of that delicate canon .	positive
distinctly sub-par ... more likely to drown a viewer in boredom than to send any shivers down his spine .	very negative
it 's a shame that the storyline and its underlying themes ... finally seem so impersonal or even shallow .	very negative
as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster 's path of destruction .	negative
de niro cries .	neutral
leigh succeeds in delivering a dramatic slap in the face that 's simultaneously painful and refreshing .	positive
i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere .	very negative
it 's the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name .	very negative
the movie starts with a legend and ends with a story that is so far-fetched it would be impossible to believe if it were n't true .	negative
really does feel like a short stretched out to feature length .	negative
a breezy blend of art , history , esoteric musings and philosophy .	positive
unexpected moments of authentically impulsive humor are the hallmark of this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery .	very positive
stands as a document of what it felt like to be a new yorker -- or , really , to be a human being -- in the weeks after 9\/11 .	positive
my wife is an actress works as well as it does because -lrb- the leads -rrb- are such a companionable couple .	positive
do you chuckle at the thought of an ancient librarian whacking a certain part of a man 's body ?	neutral
about schmidt is nicholson 's goofy , heartfelt , mesmerizing king lear .	positive
a comedy that is warm , inviting , and surprising .	very positive
hatfield and hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .	positive
the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it .	very negative
this sensitive , smart , savvy , compelling coming-of-age drama delves into the passive-aggressive psychology of co-dependence and the struggle for self-esteem .	very positive
enigma looks great , has solid acting and a neat premise .	positive
it 's not hateful .	neutral
eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot .	very negative
as warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .	very positive
godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... in praise of love remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating .	very negative
