tokens	pos_tags	chunk_tags	ner_tags	text	tags
"['Implied', 'volatility', 'of', 'European', 'bond', 'and', 'interest', 'rate', 'options', 'should', 'stabilise', 'around', 'current', 'levels', 'until', 'early', 'next', 'week', 'after', 'falling', 'before', 'and', 'after', 'this', 'week', ""'s"", 'German-led', 'cut', 'in', 'interest', 'rates', ',', 'traders', 'said', '.']"	[16, 21, 15, 16, 21, 10, 21, 21, 24, 20, 30, 15, 16, 24, 15, 16, 16, 21, 15, 39, 15, 10, 15, 12, 21, 27, 16, 21, 15, 21, 24, 6, 24, 38, 7]	[11, 12, 13, 11, 12, 12, 12, 12, 12, 21, 3, 13, 11, 12, 13, 11, 12, 12, 13, 21, 13, 14, 14, 11, 12, 11, 12, 12, 13, 11, 12, 0, 11, 21, 0]	[0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0]	Implied volatility of European bond and interest rate options should stabilise around current levels until early next week after falling before and after this week's German-led cut in interest rates, traders said.	['O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Wealthy', 'Parma', ',', 'now', 'coached', 'by', 'the', 'former', 'Italian', 'international', 'Carlo', 'Ancelotti', ',', 'were', 'without', 'new', 'striker', 'Enrico', 'Chiesa', 'and', 'went', 'down', '3-1', 'at', 'serie', 'B', 'club', 'Pescara', 'in', 'their', 'second', 'round', 'clash', '.']	[22, 22, 6, 30, 40, 15, 12, 16, 16, 16, 22, 22, 6, 38, 15, 16, 21, 22, 22, 10, 38, 30, 11, 15, 21, 22, 21, 22, 15, 29, 16, 16, 21, 7]	[11, 12, 0, 3, 21, 13, 11, 12, 12, 12, 12, 12, 0, 21, 13, 11, 12, 12, 12, 0, 21, 3, 11, 13, 11, 12, 12, 12, 13, 11, 12, 12, 12, 0]	[0, 3, 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]	Wealthy Parma, now coached by the former Italian international Carlo Ancelotti, were without new striker Enrico Chiesa and went down 3-1 at serie B club Pescara in their second round clash.	['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']
"['Two', 'Italian', 'magazines', 'published', 'pictures', 'on', 'Wednesday', 'of', 'Daniel', 'Ducruet', ',', 'Princess', 'Stephanie', 'of', 'Monaco', ""'s"", 'husband', 'and', 'former', 'bodyguard', ',', 'cavorting', 'naked', 'with', 'another', 'woman', 'by', 'a', 'poolside', 'in', 'France', '.']"	[11, 16, 24, 38, 24, 15, 22, 15, 22, 22, 6, 22, 22, 15, 22, 27, 21, 10, 16, 21, 6, 39, 16, 15, 12, 21, 15, 12, 21, 15, 22, 7]	[11, 12, 12, 21, 11, 13, 11, 13, 11, 12, 0, 11, 12, 13, 11, 11, 12, 12, 12, 12, 0, 21, 1, 13, 11, 12, 13, 11, 12, 13, 11, 0]	[0, 7, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	Two Italian magazines published pictures on Wednesday of Daniel Ducruet, Princess Stephanie of Monaco's husband and former bodyguard, cavorting naked with another woman by a poolside in France.	['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']
['A.', 'Stewart', 'b', 'Mushtaq', 'Ahmed', '44']	[22, 22, 34, 22, 22, 11]	[11, 12, 0, 11, 12, 12]	[1, 2, 0, 1, 2, 0]	A. Stewart b Mushtaq Ahmed 44	['B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']
['PARIS', '1996-08-27']	[22, 11]	[11, 12]	[5, 0]	PARIS 1996-08-27	['B-LOC', 'O']
['But', 'as', 'Lauck', 'was', 'about', 'to', 'be', 'led', 'away', ',', 'he', 'turned', 'to', 'reporters', 'and', 'blurted', 'out', 'a', 'virtually', 'incomprehensible', 'quick-fire', 'diatribe', 'against', 'the', 'court', '.']	[10, 15, 21, 38, 15, 35, 37, 40, 30, 6, 28, 38, 35, 24, 10, 38, 33, 12, 30, 21, 21, 21, 15, 12, 21, 7]	[0, 17, 11, 21, 1, 21, 22, 22, 3, 0, 11, 21, 13, 11, 0, 21, 15, 11, 12, 12, 12, 12, 13, 11, 12, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	But as Lauck was about to be led away, he turned to reporters and blurted out a virtually incomprehensible quick-fire diatribe against the court.	['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['5.', 'Peter', 'Dirkx', '(', 'Belgium', ')', 'KTM']	[22, 22, 22, 4, 22, 5, 22]	[11, 12, 12, 0, 11, 0, 11]	[0, 1, 2, 0, 5, 0, 3]	5. Peter Dirkx (Belgium) KTM	['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-ORG']
['2.', 'David', 'Coulthard', '(', 'Britain', ')', 'McLaren', '1:54.342']	[22, 22, 22, 4, 22, 5, 22, 11]	[11, 12, 12, 0, 11, 0, 11, 12]	[0, 1, 2, 0, 5, 0, 3, 0]	2. David Coulthard (Britain) McLaren 1:54.342	['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-ORG', 'O']
"['Subpoenas', 'are', 'due', 'to', 'be', 'served', 'on', 'a', 'number', 'of', 'people', 'this', 'week', '.', '""']"	[24, 41, 16, 35, 37, 40, 15, 12, 21, 15, 24, 12, 21, 7, 0]	[11, 21, 1, 21, 22, 22, 13, 11, 12, 13, 11, 11, 12, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"Subpoenas are due to be served on a number of people this week . """	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['LONDON', '1996-08-28']	[22, 11]	[11, 12]	[5, 0]	LONDON 1996-08-28	['B-LOC', 'O']
['4.', 'Erik', 'Zabel', '(', 'Germany', ')', 'Telekom']	[11, 22, 22, 4, 22, 5, 21]	[11, 12, 12, 0, 11, 0, 11]	[0, 1, 2, 0, 5, 0, 3]	4. Erik Zabel (Germany) Telekom	['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-ORG']
['7.', 'Irina', 'Privalova', '(', 'Russia', ')', '11.28']	[11, 22, 22, 4, 22, 5, 11]	[11, 12, 12, 0, 11, 0, 11]	[0, 1, 2, 0, 5, 0, 0]	7. Irina Privalova (Russia) 11.28	['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']
"['which', 'we', 'expect', 'at', 'the', 'beginning', 'of', 'next', 'year', ',', '""', 'Grabowksi', 'said', '.']"	[43, 28, 41, 15, 12, 21, 15, 16, 21, 6, 0, 22, 38, 7]	[11, 11, 21, 13, 11, 12, 13, 11, 12, 0, 0, 11, 21, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	"which we expect at the beginning of next year, "" Grabowksi said."	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O']
['Playing', 'Sunday', ':']	[39, 22, 8]	[21, 11, 0]	[0, 0, 0]	Playing Sunday:	['O', 'O', 'O']
['GLASGOW', '1996-08-25']	[22, 11]	[11, 12]	[5, 0]	GLASGOW 1996-08-25	['B-LOC', 'O']
['IN-NAZZJON']	[22]	[11]	[5]	IN-NAZZJON	['B-LOC']
['BLANTYRE', '1996-08-24']	[37, 11]	[21, 11]	[5, 0]	BLANTYRE 1996-08-24	['B-LOC', 'O']
['--', 'Finance', 'ministry', 'scrambles', 'to', 'find', 'temporary', 'solution', 'to', 'regulation', 'which', 'slaps', 'a', '15', 'percent', 'tax', 'rate', 'on', 'gains', 'from', 'trading', 'of', 'bonds', 'and', 'coupons', 'by', 'mutual', 'funds']	[8, 22, 6, 24, 35, 37, 16, 21, 35, 21, 43, 42, 12, 11, 21, 21, 21, 15, 24, 15, 39, 15, 24, 10, 24, 15, 16, 24]	[11, 12, 0, 21, 22, 22, 11, 12, 13, 11, 11, 21, 11, 12, 12, 12, 12, 13, 11, 13, 11, 13, 11, 12, 12, 13, 11, 12]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	-- Finance ministry scrambles to find temporary solution to regulation which slaps a 15 percent tax rate on gains from trading of bonds and coupons by mutual funds	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['10.', 'Jeroen', 'Blijlevens', '(', 'Netherlands', ')', 'TVM', '31']	[11, 22, 22, 4, 22, 5, 25, 11]	[11, 12, 12, 12, 12, 0, 11, 12]	[0, 1, 2, 0, 5, 0, 3, 0]	10. Jeroen Blijlevens (Netherlands) TVM 31	['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-ORG', 'O']
['INA', 'did', 'not', 'say', 'the', 'hijackers', 'were', 'Iraqis', '.']	[22, 38, 30, 37, 12, 24, 38, 23, 7]	[11, 21, 22, 22, 11, 12, 21, 11, 0]	[3, 0, 0, 0, 0, 0, 0, 7, 0]	INA did not say the hijackers were Iraqis.	['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O']
['-', 'Net', 'Income', '(', 'loss', ')', '$', '2,074', '(', '$', '3,422', ')']	[8, 16, 22, 4, 21, 5, 3, 11, 4, 3, 11, 5]	[0, 11, 12, 0, 11, 0, 11, 12, 0, 11, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	- Net Income (loss) $2,074 ($3,422)	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['67', '69']	[11, 11]	[11, 12]	[0, 0]	67 69	['O', 'O']
['Illawarra', '21', '8', '0', '13', '395', '432', '16']	[22, 11, 11, 11, 11, 11, 11, 11]	[11, 12, 12, 12, 12, 12, 12, 12]	[3, 0, 0, 0, 0, 0, 0, 0]	Illawarra 21 8 0 13 395 432 16	['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['M.', 'Waugh', 'b', 'P.', 'Strang', '18']	[22, 22, 34, 22, 22, 11]	[11, 12, 0, 11, 12, 12]	[1, 2, 0, 1, 2, 0]	M. Waugh b P. Strang 18	['B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']
"['Both', 'will', 'have', 'their', 'impact', 'on', 'Cofinec', ""'s"", 'figures', ',', 'the', 'analysts', 'said', '.']"	[12, 20, 37, 29, 21, 15, 22, 27, 24, 6, 12, 24, 38, 7]	[11, 21, 22, 11, 12, 13, 11, 11, 12, 0, 11, 12, 21, 0]	[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]	Both will have their impact on Cofinec's figures, the analysts said.	['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Twente', 'Enschede', '1', '1', '0', '0', '3', '1', '3']	[22, 21, 11, 11, 11, 11, 11, 11, 11]	[11, 12, 12, 12, 12, 12, 12, 12, 12]	[3, 4, 0, 0, 0, 0, 0, 0, 0]	Twente Enschede 1 1 0 0 3 1 3	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Conchita', 'Martinez', 'decided', 'that', 'when', 'in', 'New', 'York', ',', 'do', 'as', 'the', 'New', 'Yorkers', 'do', '--', 'and', 'the', 'Spaniard', ""'s"", 'new-found', 'aggressiveness', 'seems', 'to', 'have', 'put', 'her', 'in', 'the', 'right', 'frame', 'of', 'mind', 'for', 'the', 'U.S.', 'Open', '.']"	[22, 22, 38, 15, 46, 15, 22, 22, 6, 41, 15, 12, 22, 23, 41, 8, 10, 12, 22, 27, 16, 21, 42, 35, 37, 40, 28, 15, 12, 16, 21, 15, 21, 15, 12, 22, 22, 7]	[11, 12, 21, 17, 3, 13, 11, 12, 0, 21, 17, 11, 12, 12, 21, 0, 0, 11, 12, 11, 12, 12, 21, 22, 22, 22, 11, 13, 11, 12, 12, 13, 11, 13, 11, 12, 12, 0]	[1, 2, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0]	Conchita Martinez decided that when in New York, do as the New Yorkers do--and the Spaniard's new-found aggressiveness seems to have put her in the right frame of mind for the U.S. Open.	['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O']
['No', 'more', 'mild-mannered', 'and', 'meek', 'Al', 'Gore', ',', 'the', 'vice', 'president', 'and', 'likely', 'heir', 'apparent', 'to', 'President', 'Bill', 'Clinton', ',', 'emerged', 'on', 'Monday', 'as', 'the', 'new', 'Democratic', 'attack', 'dog', 'leading', 'a', 'front-line', 'assault', 'on', 'Bob', 'Dole', 'and', 'House', 'Speaker', 'Newt', 'Gingrich', '.']	[12, 31, 16, 10, 16, 22, 22, 6, 12, 21, 21, 10, 16, 21, 16, 35, 22, 22, 22, 6, 38, 15, 22, 15, 12, 16, 16, 21, 21, 39, 12, 16, 21, 15, 22, 22, 10, 22, 22, 22, 22, 7]	[3, 4, 1, 2, 2, 11, 12, 0, 11, 12, 12, 0, 1, 11, 1, 13, 11, 12, 12, 0, 21, 13, 11, 13, 11, 12, 12, 12, 12, 21, 11, 12, 12, 13, 11, 12, 0, 11, 12, 12, 12, 0]	[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 0, 1, 2, 0]	No more mild-mannered and meek Al Gore, the vice president and likely heir apparent to President Bill Clinton, emerged on Monday as the new Democratic attack dog leading a front-line assault on Bob Dole and House Speaker Newt Gingrich.	['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O']
['When', 'brighter', 'weather', 'finally', 'arrived', ',', 'the', 'umpires', 'announced', 'a', 'revised', 'figure', 'of', '67', 'overs', 'to', 'be', 'bowled', 'with', 'play', 'extended', 'to', 'at', 'least', '1900', 'local', 'time', '(', '1800', 'GMT', ')', '.']	[46, 17, 21, 30, 40, 6, 12, 24, 38, 12, 40, 21, 15, 11, 24, 35, 37, 40, 15, 21, 40, 35, 15, 18, 11, 16, 21, 4, 11, 22, 5, 7]	[3, 11, 12, 21, 22, 0, 11, 12, 21, 11, 12, 12, 13, 11, 12, 21, 22, 22, 13, 11, 21, 13, 11, 12, 12, 12, 12, 0, 11, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]	When brighter weather finally arrived, the umpires announced a revised figure of 67 overs to be bowled with play extended to at least 1900 local time (1800 GMT).	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O']
['Tranmere', '3', 'Grimsby', '2']	[21, 11, 22, 11]	[11, 12, 12, 12]	[3, 0, 3, 0]	Tranmere 3 Grimsby 2	['B-ORG', 'O', 'B-ORG', 'O']
['More', 'than', '100', 'delegates', 'flew', 'in', 'from', 'around', 'the', 'world', 'to', 'elect', 'a', 'successor', '.']	[17, 15, 11, 24, 38, 15, 15, 15, 12, 21, 35, 37, 12, 21, 7]	[11, 12, 12, 12, 21, 3, 13, 13, 11, 12, 21, 22, 11, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	More than 100 delegates flew in from around the world to elect a successor.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['It', 'causes', 'diarrhoea', ',', 'abdominal', 'pain', 'and', 'weight', 'loss', '.']	[28, 42, 21, 6, 16, 21, 10, 21, 21, 7]	[11, 21, 11, 0, 11, 12, 12, 12, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	It causes diarrhoea, abdominal pain and weight loss.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Thomson', 'said', ':', '""', 'I', 'am', 'leaving', 'with', 'my', 'dignity', 'and', 'my', 'pride', 'intact', ',', 'and', 'that', 'is', 'very', 'important', 'to', 'me', '.']"	[22, 38, 8, 0, 28, 41, 39, 15, 29, 21, 10, 29, 21, 16, 6, 10, 12, 42, 30, 16, 35, 28, 7]	[11, 21, 0, 0, 11, 21, 22, 13, 11, 12, 0, 11, 12, 1, 0, 0, 11, 21, 1, 2, 13, 11, 0]	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"Thomson said: "" I am leaving with my dignity and my pride intact, and that is very important to me."	['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['20.', 'Israel', '8.17']	[11, 22, 11]	[11, 11, 12]	[0, 5, 0]	20. Israel 8.17	['O', 'B-LOC', 'O']
"['Summaries', 'of', 'Wednesday', ""'s"", 'German']"	[24, 15, 22, 27, 16]	[11, 13, 11, 11, 12]	[0, 0, 0, 0, 7]	Summaries of Wednesday's German	['O', 'O', 'O', 'O', 'B-MISC']
['LECIVA', 'PRAHA', '2470.00', '2470.00', '1360', '3359.200']	[22, 22, 11, 11, 11, 11]	[11, 12, 12, 12, 12, 12]	[3, 4, 0, 0, 0, 0]	LECIVA PRAHA 2470.00 2470.00 1360 3359.200	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']
['West', 'Coast', '21', '15', '0', '6', '2151', '1673', '128.6', '60']	[22, 22, 11, 11, 11, 11, 11, 11, 11, 11]	[11, 12, 12, 12, 12, 12, 12, 12, 12, 11]	[3, 4, 0, 0, 0, 0, 0, 0, 0, 0]	West Coast 21 15 0 6 2151 1673 128.6 60	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ukraine', 'hails', 'peace', 'as', 'marks', 'five-year', 'independence', '.']	[22, 42, 21, 15, 24, 16, 21, 7]	[11, 21, 11, 17, 11, 12, 12, 0]	[5, 0, 0, 0, 0, 0, 0, 0]	Ukraine hails peace as marks five-year independence.	['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Iron', 'Gippsland', '-', '(', 'built', '1989', ')', '87,241', 'dwt', 'sold', 'to', 'Greek', 'buyers', 'for', '$', '30', 'million', '.']	[22, 22, 8, 4, 40, 11, 5, 11, 21, 40, 35, 16, 24, 15, 3, 11, 11, 7]	[11, 12, 0, 0, 21, 11, 0, 11, 12, 21, 13, 11, 12, 13, 11, 12, 12, 0]	[7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0]	Iron Gippsland - (built 1989) 87,241 dwt sold to Greek buyers for $30 million.	['B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']
"['Mickelson', 'three-stroke', 'lead', 'was', 'cut', 'to', 'two', 'when', 'Mayfair', 'birdied', 'the', 'course', ""'s"", 'only', 'easy', 'hole', ',', 'the', 'par', 'five', 'second', 'hole', ',', 'while', 'Mickelson', 'three-putted', 'for', 'par', 'from', '25', 'feet', '.']"	[22, 16, 21, 38, 40, 35, 11, 46, 22, 38, 12, 21, 27, 16, 16, 21, 6, 12, 21, 11, 16, 21, 6, 15, 16, 21, 15, 21, 15, 11, 24, 7]	[11, 12, 12, 21, 22, 13, 11, 3, 11, 21, 11, 12, 11, 12, 12, 12, 0, 11, 12, 11, 12, 12, 0, 17, 11, 12, 13, 11, 13, 11, 12, 0]	[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	Mickelson three-stroke lead was cut to two when Mayfair birdied the course's only easy hole, the par five second hole, while Mickelson three-putted for par from 25 feet.	['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Senior', 'United', 'Nations', 'arms', 'official', 'Rolf', 'Ekeus', 'left', 'Bahrain', 'for', 'Baghdad', 'on', 'Monday', 'for', 'talks', 'with', 'Iraqi', 'officials', ',', 'a', 'U.N.', 'spokesman', 'said', '.']	[22, 22, 23, 24, 21, 22, 22, 38, 22, 15, 22, 15, 22, 15, 24, 15, 16, 24, 6, 12, 22, 21, 38, 7]	[11, 12, 12, 12, 12, 12, 12, 21, 11, 13, 11, 13, 11, 13, 11, 13, 11, 12, 0, 11, 12, 12, 21, 0]	[0, 3, 4, 0, 0, 1, 2, 0, 5, 0, 5, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0]	Senior United Nations arms official Rolf Ekeus left Bahrain for Baghdad on Monday for talks with Iraqi officials, a U.N. spokesman said.	['O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']
"['The', 'outbreak', 'has', 'prompted', 'authorities', 'to', 'tighten', 'sanitary', 'standards', 'at', 'slaughterhouses', 'and', 'meatpacking', 'plants', 'and', 'sparked', 'calls', 'for', 'an', 'overhaul', 'of', 'the', 'nation', ""'s"", 'school', 'lunch', 'programme', '.']"	[12, 21, 42, 40, 24, 35, 37, 16, 24, 15, 24, 10, 21, 24, 10, 38, 24, 15, 12, 21, 15, 12, 21, 27, 21, 21, 21, 7]	[11, 12, 21, 22, 11, 21, 22, 11, 12, 13, 11, 0, 11, 12, 0, 21, 11, 13, 11, 12, 13, 11, 12, 11, 12, 12, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	The outbreak has prompted authorities to tighten sanitary standards at slaughterhouses and meatpacking plants and sparked calls for an overhaul of the nation's school lunch programme.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['The', 'boat', 'had', 'been', 'missing', 'since', 'Monday', 'afternoon', 'when', 'it', 'left', 'the', 'tiny', 'island', 'of', 'Gorgona', 'off', 'Colombia', ""'s"", 'southwest', 'coast', 'with', 'sightseers', 'for', 'a', 'return', 'trip', 'to', 'Narino', 'province', ',', 'near', 'the', 'border', 'with', 'Ecuador', '.']"	[12, 21, 38, 40, 39, 15, 22, 21, 46, 28, 38, 12, 16, 21, 15, 22, 15, 22, 27, 21, 21, 15, 24, 15, 12, 21, 21, 35, 22, 21, 6, 15, 12, 21, 15, 22, 7]	[11, 12, 21, 22, 1, 13, 11, 12, 3, 11, 21, 11, 12, 12, 13, 11, 13, 11, 11, 12, 12, 13, 11, 13, 11, 12, 12, 13, 11, 12, 0, 13, 11, 12, 13, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0]	The boat had been missing since Monday afternoon when it left the tiny island of Gorgona off Colombia's southwest coast with sightseers for a return trip to Narino province, near the border with Ecuador.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']
['Craig', 'Stromme', ',', 'U.S.', 'embassy', 'spokesman', 'in', 'Jakarta', ',', '700', 'km', '(', '430', 'miles', ')', 'west', 'of', 'Surabaya', ',', 'confirmed', 'the', 'Tuesday', 'morning', 'attack', '.']	[22, 22, 6, 22, 21, 21, 15, 22, 6, 11, 21, 4, 11, 24, 5, 21, 15, 22, 6, 38, 12, 22, 21, 21, 7]	[11, 12, 0, 11, 12, 12, 13, 11, 0, 11, 12, 0, 11, 12, 0, 11, 13, 11, 0, 21, 11, 12, 12, 12, 0]	[1, 2, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]	Craig Stromme, U.S. embassy spokesman in Jakarta, 700 km (430 miles) west of Surabaya, confirmed the Tuesday morning attack.	['B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Legal', 'challenge', 'to', 'Diana', 'delayed', 'by', 'jail', 'term', '.']	[16, 21, 35, 22, 38, 15, 21, 21, 7]	[11, 12, 13, 11, 21, 13, 11, 12, 0]	[0, 0, 0, 1, 0, 0, 0, 0, 0]	Legal challenge to Diana delayed by jail term.	['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O']
