tokens	ner_tags	text	tags	lang
"['""', '""', '""', 'श्टेफान', 'विलवाखरः', 'विज्ञान', 'अभी', 'इस', 'सवाल', 'का', 'जवाब', 'नहीं', 'दे', 'सकता', 'क्योंकि', '""', '""', '""', '""', 'कृत्रिम', 'पैर', 'से', 'लंबी', 'कूद', '""', '""', '""', '""', 'पर', 'कोई', 'वैज्ञानिक', 'शोध', 'हुआ', 'ही', 'नहीं', 'है', '.', '""', '""', '""']"	[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	""" "" "" श्टेफान विलवाखरः विज्ञान अभी इस सवाल का जवाब नहीं दे सकता क्योंकि "" "" "" "" कृत्रिम पैर से लंबी कूद "" "" "" "" पर कोई वैज्ञानिक शोध हुआ ही नहीं है. "" "" """	['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['सुष्मिता', 'सेन', 'का', 'फिटनेस', 'मंत्र']	[1, 2, 0, 0, 0]	सुष्मिता सेन का फिटनेस मंत्र	['B-PER', 'I-PER', 'O', 'O', 'O']	hi
['पंजाब', ',', 'हरियाणा', 'में', 'बाढ़', 'का', 'खतरा']	[5, 0, 5, 0, 0, 0, 0]	पंजाब, हरियाणा में बाढ़ का खतरा	['B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O']	hi
['इस', 'अवसर', 'पर', 'बोलते', 'हुए', 'राष्ट्रपति', 'ने', 'कहा', 'कि', 'मणिपुर', 'एक', 'सुंदर', 'राज्य', 'है', 'तथा', 'इसने', 'कला', ',', 'संस्कृति', 'तथा', 'खेलों', 'के', 'क्षेत्र', 'में', 'राष्ट्रीय', 'एवं', 'अंतरराष्ट्रीय', 'उत्कृष्टता', 'प्राप्त', 'की', 'है', '।']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	इस अवसर पर बोलते हुए राष्ट्रपति ने कहा कि मणिपुर एक सुंदर राज्य है तथा इसने कला, संस्कृति तथा खेलों के क्षेत्र में राष्ट्रीय एवं अंतरराष्ट्रीय उत्कृष्टता प्राप्त की है ।	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['शोएब', 'मलिक', 'और', 'मोहम्मद', 'हफीज', 'एक', 'एक', 'ओवर', 'करने', 'के', 'लिए', 'आए', '।']	[1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]	शोएब मलिक और मोहम्मद हफीज एक एक ओवर करने के लिए आए ।	['B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
"['इंस्टाग्राम', 'के', 'एक', 'प्रवक्ता', 'ने', 'बताया', ',', '""', 'यह', 'भी', 'स्पष्ट', 'नहीं', 'है', 'कि', 'चैटरबॉक्स', 'के', 'डेटाबेस', 'में', 'फोन', 'नंबर', 'और', 'ईमेल', 'इंस्टाग्राम', 'से', 'आए', 'हैं', 'या', 'नहीं', '.']"	[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]	"इंस्टाग्राम के एक प्रवक्ता ने बताया, "" यह भी स्पष्ट नहीं है कि चैटरबॉक्स के डेटाबेस में फोन नंबर और ईमेल इंस्टाग्राम से आए हैं या नहीं."	['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['लेखक', ',', 'एसोसिएट', 'प्रोफेसर', ',', 'पीजीडीएवी', 'कालेज', ',', 'दिल्ली', 'विश्वविद्यालय', 'हैं']	[0, 0, 0, 0, 0, 3, 4, 0, 3, 4, 0]	लेखक, एसोसिएट प्रोफेसर, पीजीडीएवी कालेज, दिल्ली विश्वविद्यालय हैं	['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O']	hi
['दोनों', 'गुजरात', 'के', 'सूरत', 'के', 'रहने', 'वाले', 'हैं', '।']	[0, 5, 0, 5, 0, 0, 0, 0, 0]	दोनों गुजरात के सूरत के रहने वाले हैं ।	['O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']	hi
['सीबीआई', 'ने', 'मुख्य', 'न्यायाधीश', 'गोगोई', 'को', 'पत्र', 'लिखकर', 'उनसे', 'मामले', 'की', 'जांच', 'करने', 'की', 'इजाजत', 'मांगी', 'थी', '।']	[3, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	सीबीआई ने मुख्य न्यायाधीश गोगोई को पत्र लिखकर उनसे मामले की जांच करने की इजाजत मांगी थी ।	['B-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['पानी', 'हमारे', 'किसानों', 'के', 'लिए', 'और', 'टिकाऊ', 'कृषि', 'के', 'लिए', 'एक', 'महत्वपूर्ण', 'संसाधन', 'है', '।']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	पानी हमारे किसानों के लिए और टिकाऊ कृषि के लिए एक महत्वपूर्ण संसाधन है ।	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['अप्रैल', 'और', 'मई', '2015', 'में', 'फतुल्लाह', 'और', 'मीरपुर', '(', 'मध्य', 'क्षेत्र', 'में', 'दोनों', ')', 'और', 'चटगांव', '(', 'पूर्व', 'क्षेत्र', ')', 'में', 'मैच', 'हुआ', '।']	[0, 0, 0, 0, 0, 5, 0, 5, 0, 5, 6, 0, 0, 0, 0, 5, 0, 5, 6, 0, 0, 0, 0, 0]	अप्रैल और मई 2015 में फतुल्लाह और मीरपुर ( मध्य क्षेत्र में दोनों ) और चटगांव ( पूर्व क्षेत्र ) में मैच हुआ ।	['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']	hi
['जैसे', 'कि', 'मैंने', 'शुरुआत', 'में', 'ही', 'कहा', 'है', 'कि', 'अगर', 'कोरोना', 'की', 'लड़ाई', 'लंबे', 'समय', 'तक', 'चलती', 'है', ',', 'तो', 'कठोर', 'फैसले', 'लेने', 'होंगे', '।']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	जैसे कि मैंने शुरुआत में ही कहा है कि अगर कोरोना की लड़ाई लंबे समय तक चलती है, तो कठोर फैसले लेने होंगे ।	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['साक्षात्कार', 'और', 'सार्वजनिक', 'रिकॉर्ड', 'के', 'अनुसार', ',', 'वह', 'संपत्ति', 'के', 'विवादों', 'के', 'बारे', 'में', 'दो', 'नागरिक', 'मामलों', 'में', 'भी', 'शामिल', 'था', '।']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	साक्षात्कार और सार्वजनिक रिकॉर्ड के अनुसार, वह संपत्ति के विवादों के बारे में दो नागरिक मामलों में भी शामिल था ।	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['ब्रिटेन', 'के', 'हाईकोर्ट', 'की', 'कॉमर्शियल', 'कोर्ट', 'की', 'क्वींस', 'बेंच', 'के', 'समक्ष', 'एसबीआई', 'बैंक', 'ऑफ', 'बड़ौदा', ',', 'कॉर्पोरेशन', 'बैंक', ',', 'फेडरल', 'बैंक', 'लिमिटेड', ',', 'आईडीबीआई', 'बैंक', ',', 'इंडियन', 'ओवरसीज', 'बैंक', ',', 'जम्मू', '-', 'कश्मीर', 'बैंक', ',', 'पंजाब', 'एवं', 'सिंध', 'बैंक', ',', 'पंजाब', 'नेशनल', 'बैंक', ',', 'स्टेट', 'बैंक', 'ऑफ', 'मैसूर', ',', 'यूको', 'बैंक', ',', 'यूनाइटेड', 'बैंक', 'ऑफ', 'इंडिया', 'और', 'जेएम', 'फाइनेंशियल', 'एसेट', 'रिकंस्ट्रक्शन', 'कंपनी', 'प्रा', '.']	[3, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 3, 4, 4, 3, 0, 3, 4, 0, 3, 4, 0, 0, 3, 4, 0, 3, 4, 4, 0, 3, 4, 4, 4, 0, 3, 4, 4, 4, 0, 3, 4, 4, 0, 3, 4, 4, 4, 0, 3, 4, 0, 3, 4, 4, 4, 0, 3, 4, 4, 4, 4, 0, 0]	ब्रिटेन के हाईकोर्ट की कॉमर्शियल कोर्ट की क्वींस बेंच के समक्ष एसबीआई बैंक ऑफ बड़ौदा, कॉर्पोरेशन बैंक, फेडरल बैंक लिमिटेड, आईडीबीआई बैंक, इंडियन ओवरसीज बैंक, जम्मू- कश्मीर बैंक, पंजाब एवं सिंध बैंक, पंजाब नेशनल बैंक, स्टेट बैंक ऑफ मैसूर, यूको बैंक, यूनाइटेड बैंक ऑफ इंडिया और जेएम फाइनेंशियल एसेट रिकंस्ट्रक्शन कंपनी प्रा.	['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O']	hi
['उन्हें', 'पूर्वी', 'उत्तर', 'प्रदेश', 'का', 'महासचिव', 'बनाया', 'गया', 'है', '।']	[1, 5, 6, 6, 0, 0, 0, 0, 0, 0]	उन्हें पूर्वी उत्तर प्रदेश का महासचिव बनाया गया है ।	['B-PER', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['रक्षा', 'मंत्रालय', 'पूर्वावलोकनः', 'भारत', '-', 'बंगलादेश', 'संयुक्त', 'सैन्य', 'अभ्यास', 'सम्प्रीति', '-', '2019', 'भारत', 'और', 'बंगलादेश', 'के', 'बीच', 'रक्षा', 'सहयोग', 'के', 'हिस्से', 'के', 'रूप', 'में', '2', 'से', '15', 'मार्च', ',', '2019', 'तक', 'बंगलादेश', 'के', 'तंगेल', 'में', 'दोनों', 'देशों', 'का', 'संयुक्त', 'सैन्य', 'अभ्यास', 'सम्प्रीति', '2019', 'संचालित', 'किया', 'जाएगा', '।']	[3, 4, 4, 5, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	रक्षा मंत्रालय पूर्वावलोकनः भारत- बंगलादेश संयुक्त सैन्य अभ्यास सम्प्रीति- 2019 भारत और बंगलादेश के बीच रक्षा सहयोग के हिस्से के रूप में 2 से 15 मार्च, 2019 तक बंगलादेश के तंगेल में दोनों देशों का संयुक्त सैन्य अभ्यास सम्प्रीति 2019 संचालित किया जाएगा ।	['B-ORG', 'I-ORG', 'I-ORG', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['YAL', '-', '1', '-', 'यह', 'नेशनल', 'मिसाइल', 'डिफेंस', 'योजना', 'का', 'एक', 'घटक', ',', 'एक', 'प्रयोगात्मक', 'एयरबोर्न', 'लेजर', 'है', '।']	[0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	YAL- 1- यह नेशनल मिसाइल डिफेंस योजना का एक घटक, एक प्रयोगात्मक एयरबोर्न लेजर है ।	['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['झारखंड', 'में', 'झामुमो', '-', 'कांग्रेस', '-', 'राजद', 'गठबंधन', 'ने', 'भाजपा', 'को', 'झटका', 'दिया', 'है', '।']	[5, 0, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]	झारखंड में झामुमो- कांग्रेस- राजद गठबंधन ने भाजपा को झटका दिया है ।	['B-LOC', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['गृह', 'मंत्रालय', 'को', 'समयबद्ध', 'तरीके', 'से', 'नौकाओं', 'की', 'मरम्मत', 'और', 'वापसी', 'के', 'अभियान', 'को', 'पूरा', 'करने', 'की', 'जिम्मेदारी', 'दी', 'गई', 'थी', '।']	[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	गृह मंत्रालय को समयबद्ध तरीके से नौकाओं की मरम्मत और वापसी के अभियान को पूरा करने की जिम्मेदारी दी गई थी ।	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['महाबिल्वाकेश्वर', 'मंदिर', ',', 'विनाश', 'के', 'हिंदू', 'भगवान', '-', 'भगवान', 'शिव', 'के', 'लिए', 'समर्पित', 'कठुआ', 'जिला', 'में', 'सबसे', 'लोकप्रिय', 'मंदिरों', 'में', 'से', 'एक', 'है', '।']	[5, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]	महाबिल्वाकेश्वर मंदिर, विनाश के हिंदू भगवान- भगवान शिव के लिए समर्पित कठुआ जिला में सबसे लोकप्रिय मंदिरों में से एक है ।	['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['श्री', 'नायडू', 'ने', 'स्वर्गीय', 'श्री', 'अरुण', 'जेटली', 'को', 'श्रद्धांजलि', 'देने', 'के', 'लिए', 'सोशल', 'मीडिया', 'का', 'सहारा', 'लिया', 'और', 'कहा', 'कि', 'श्री', 'जेटली', 'उनके', 'करीबी', 'सहयोगी', 'और', 'प्रिय', 'मित्र', 'थे']	[1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]	श्री नायडू ने स्वर्गीय श्री अरुण जेटली को श्रद्धांजलि देने के लिए सोशल मीडिया का सहारा लिया और कहा कि श्री जेटली उनके करीबी सहयोगी और प्रिय मित्र थे	['B-PER', 'B-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['केन्द्र', 'सरकार', 'की', 'नदी', 'घटियों', ',', 'सूखाग्रस्त', 'और', 'पश्चिम', 'घाट', 'के', 'लिए', 'प्रायोजित', 'योजनाएं', 'हैं', 'जबकि', 'राज्य', 'सरकार', 'की', 'भूमि', 'विकास', 'और', 'ग्रामीण', 'विकास', 'से', 'संबंधित', 'योजनाएं', 'हैं', '।']	[3, 4, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	केन्द्र सरकार की नदी घटियों, सूखाग्रस्त और पश्चिम घाट के लिए प्रायोजित योजनाएं हैं जबकि राज्य सरकार की भूमि विकास और ग्रामीण विकास से संबंधित योजनाएं हैं ।	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['जिसकी', 'शिकायत', 'परिजनों', 'द्वारा', 'थाने', 'में', 'दर्ज', 'कराई', 'थी', '।']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	जिसकी शिकायत परिजनों द्वारा थाने में दर्ज कराई थी ।	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['उनकी', 'प्रोफाइल', 'इसमें', 'सही', 'नहीं', 'बैठतीः', 'आईआईटी', 'दिल्ली', ',', 'पेन्सिलवेनिया', 'विश्वविद्यालय', 'और', 'हार्वर्ड', 'बिजनेस', 'स्कूल', 'का', 'एक', '55', 'वर्षीय', 'पूर्व', 'छात्र', ',', 'और', 'निवेश', 'फंड', 'प्रबंधक', ',', 'प्रबंधन', 'सलाहकार', 'तथा', 'हेज़', 'फंड', 'प्रबंधक', '।']	[0, 0, 0, 0, 0, 0, 3, 4, 0, 3, 4, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	उनकी प्रोफाइल इसमें सही नहीं बैठतीः आईआईटी दिल्ली, पेन्सिलवेनिया विश्वविद्यालय और हार्वर्ड बिजनेस स्कूल का एक 55 वर्षीय पूर्व छात्र, और निवेश फंड प्रबंधक, प्रबंधन सलाहकार तथा हेज़ फंड प्रबंधक ।	['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['पीएमसी', 'बैंक', 'घोटाला', ':', 'एचडीआईएल', 'के', 'निदेश', 'राकेश', 'व', 'सारंग', 'वाधवान', 'ने', 'सौंपी', '.']	[3, 4, 0, 0, 3, 0, 0, 1, 0, 1, 2, 0, 0, 0]	पीएमसी बैंक घोटाला : एचडीआईएल के निदेश राकेश व सारंग वाधवान ने सौंपी.	['B-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'B-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O']	hi
['सरकार', 'को', 'आशा', 'है', 'कि', 'उसके', 'प्रयासों', 'से', 'रजिस्ट्री', 'से', 'मुखौटा', 'कंपनियों', 'के', 'नाम', 'हटाने', 'से', 'भारत', 'में', 'पारदर्शी', 'और', 'परिपालक', 'कॉरपोरेट', 'व्यवस्था', 'बनेगी', ',', 'कारोबारी', 'सहजता', 'को', 'बढ़ावा', 'मिलेगा', 'और', 'लोगों', 'का', 'विश्वास', 'बढ़ेगा', '।']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	सरकार को आशा है कि उसके प्रयासों से रजिस्ट्री से मुखौटा कंपनियों के नाम हटाने से भारत में पारदर्शी और परिपालक कॉरपोरेट व्यवस्था बनेगी, कारोबारी सहजता को बढ़ावा मिलेगा और लोगों का विश्वास बढ़ेगा ।	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['यस', 'बैंक', 'ने', 'अनिल', 'अंबानी', 'की', 'कंपनी', ',', 'एस्सेल', 'समूह', ',', 'इंफ्रास्ट्रक्चर', 'लीजिंग', 'एंड', 'फाइनेंशियल', 'सर्विसेज', 'लिमिटेड', '(', 'आईएलएफएस', ')', ',', 'दीवान', 'हाउसिंग', 'फाइनेंस', 'कॉरपोरेशन', 'लिमिटेड', '(', 'डीएचएफएल', ')', 'और', 'वोडाफोन', 'जैसी', 'कंपनियों', 'को', 'लोन', 'दिया', 'जो', 'डिफॉल्ट', 'हुए', 'हैं', '।']	[3, 4, 0, 3, 4, 4, 4, 4, 3, 4, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	यस बैंक ने अनिल अंबानी की कंपनी, एस्सेल समूह, इंफ्रास्ट्रक्चर लीजिंग एंड फाइनेंशियल सर्विसेज लिमिटेड ( आईएलएफएस ), दीवान हाउसिंग फाइनेंस कॉरपोरेशन लिमिटेड ( डीएचएफएल ) और वोडाफोन जैसी कंपनियों को लोन दिया जो डिफॉल्ट हुए हैं ।	['B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['पीओ', '-', 'कीओटी']	[1, 0, 1]	पीओ- कीओटी	['B-PER', 'O', 'B-PER']	hi
['प्रधानमंत्री', ',', 'श्री', 'नरेन्द्र', 'मोदी', 'ने', 'शहीद', 'भगत', 'सिंह', 'की', 'जयंती', 'पर', 'उन्हें', 'श्रद्धांजलि', 'अर्पित', 'की', '।']	[0, 0, 1, 2, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]	प्रधानमंत्री, श्री नरेन्द्र मोदी ने शहीद भगत सिंह की जयंती पर उन्हें श्रद्धांजलि अर्पित की ।	['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['केन्द्रीय', 'मंत्रिमंडल', 'ने', 'उत्तर', 'प्रदेश', 'राज्य', 'विद्युत', 'उत्पादन', 'निगम', 'लिमिटेड', 'के', 'साथ', 'एक', 'संयुक्त', 'उपक्रम', 'के', 'अंतर्गत', 'उत्तर', 'प्रदेश', 'के', 'कानपुर', 'जिले', 'की', 'घाटमपुर', 'तहसील', 'में', '1980', 'मेगावाट', 'की', 'कोयला', 'आधारित', 'तापीय', 'विद्युत', 'परियोजना', 'को', 'स्थापित', 'करने', 'के', 'लिए', 'एक', 'संयुक्त', 'उपक्रम', 'कंपनी', 'के', 'गठन', 'हेतु', 'नेयवेली', 'लिग्नाईट', 'कॉरपोरेशन', 'के', 'प्रस्ताव', 'को', 'स्वीकृतिदे', 'दी', 'है', '।']	[3, 4, 0, 3, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 6, 0, 5, 6, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0]	केन्द्रीय मंत्रिमंडल ने उत्तर प्रदेश राज्य विद्युत उत्पादन निगम लिमिटेड के साथ एक संयुक्त उपक्रम के अंतर्गत उत्तर प्रदेश के कानपुर जिले की घाटमपुर तहसील में 1980 मेगावाट की कोयला आधारित तापीय विद्युत परियोजना को स्थापित करने के लिए एक संयुक्त उपक्रम कंपनी के गठन हेतु नेयवेली लिग्नाईट कॉरपोरेशन के प्रस्ताव को स्वीकृतिदे दी है ।	['B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['अमेजन', 'इंडिया', 'के', 'वरिष्ठ', 'उपाध्यक्ष', 'एवं', 'भारत', 'में', 'प्रमुख', 'अमित', 'अग्रवाल', 'को', 'इंटरनेट', 'एंड', 'मोबाइल', 'एसोसिएशन', 'आफ', 'इंडिया', '(', 'आईएएमएआई', ')', 'का', 'नया', 'चेयरमैन', 'बनाया', 'गया', 'है', '।']	[3, 4, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 4, 4, 4, 4, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]	अमेजन इंडिया के वरिष्ठ उपाध्यक्ष एवं भारत में प्रमुख अमित अग्रवाल को इंटरनेट एंड मोबाइल एसोसिएशन आफ इंडिया ( आईएएमएआई ) का नया चेयरमैन बनाया गया है ।	['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
