text	Aspect 1	Sentiment 1	Opinion 1	Opinion 2	Aspect 2	Sentiment 2	Aspect 3	Sentiment 3	Aspect 4	Sentiment 4	Opinion 3	Aspect 5	Sentiment 5	Aspect 6	Sentiment 6	Aspect 7	Sentiment 7	Opinion 4	Opinion 5	Aspect 8	Sentiment 8	Opinion 6	Opinion 7	Aspect 9	Sentiment 9
- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes , however be warned that the peter 's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top , like a salad	bread	positive	tasty	delicious	pizza	positive	peter 's favourite pizza with prosciutto and baby arugula	neutral	margarite pizza with cold prosciutto and baby arugula on top	neutral															
yes , the prices are high , but i felt it was worth it	prices	conflict	high	worth																					
have always found that the waiters will go out of their way to be helpful , despite the fact they are often busy with lots of diners	waiters	positive	helpful	busy																					
while this is n't classical restaurant fare , the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs	chef	positive	classical	innovative	cuisine	neutral	dishes	positive	indian	positive	tasty							genuinely	heavy						
the owner truly caters to all your needs	owner	positive	caters																						
he takes real pride in his food and his business	food	positive																							
over the years , it has always provided a pleasurable dining experience with quality food and wine	dining	positive	pleasurable	quality	food	positive																			
the photobook menu was a cute touch , certainly helped my group and i pick the fried chicken , pork chop , and noodle dishes that we all ordered	menu	positive	cute		fried chicken	neutral	pork chop	neutral	noodle dishes	neutral															
too large for just two people but nothing was left			large																						
a pleasant surprise			pleasant surprise																						
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !	open faced cheese sandwich	neutral			manager	negative																			
we were fans of the half-price saturday night option until some inedible squid during a recent visit	half-price saturday night option	positive	inedible		squid	negative																			
pizza is terrific , as is homemade pasta	pizza	positive	terrific		homemade pasta	positive																			
example is the soup which was about 6 oz for 12 dollars and the mushrooms where 12 for about 1oz	soup	positive			mushrooms	positive																			
service is not exactly five star , but thats not really a big deal	service	conflict	five star																						
there are other people waiting !	waiting	negative																							
from beginning appetizers , the scallops were incredible , to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations	beginning appetizers	positive	incredible	delicious	scallops	positive	chocolate souffle with rasberry mint sorbet	positive	taste	positive	delighted														
consistently good japanese tapas	japanese tapas	positive	good																						
my goodness , everything from the fish to the rice to the seaweed was absolutely amazing	fish	positive			rice	positive	seaweed	positive																	
this place started off a little iffy , but is now one of my favorite indian restaurants in nyc ( and i 'm indian , so i should know )			iffy	favorite																					
they also do a great job for restaurant week			great																						
the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i 've ever had )	dishes	positive	unique	tasty	lamb sausages	positive	sardines with biscuits	positive	large whole shrimp	positive	fresh	pistachio ice cream	positive					large	amazing			best	freshest		
the food is reliable and the price is moderate	food	positive	reliable		price	neutral																			
while the ambiance and atmosphere were great , the food and service could have been a lot better	ambiance	positive	great		atmosphere	positive	food	negative	service	negative															
we were in search of food and stumbled on this block of indian restaurants on east sixth street	food	neutral																							
planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too	sushi	positive	great	excellent	thai food	positive																			
very excited to hear that short-term chef jason narone has moved on , he truly was a low point of their sterling track record	chef	negative	excited																						
well worth the trip , close to city hall and downtown subway stops			well worth																						
we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me	outdoor seating	positive	delight	perfect																					
my husband had the mesclun , salmon , and ice cream and he enjoyed all 3 courses	mesclun	positive	enjoyed		salmon	positive	ice cream	positive																	
we were told that the wait was about twenty minutes and there would be no problem for our pm curtain call	wait	neutral																							
the food is usually good but it certainly is n't a relaxing place to go	food	positive	good	relaxing	place	negative																			
super friendly and knowledgable staff , fabulous bistro fare and a wonderful jazz brunch with great live jazz ( the chilaquiles were awesome !	staff	positive	friendly	knowledgable	bistro fare	positive	jazz brunch	positive	live jazz	positive	fabulous	chilaquiles	positive					wonderful	great			awesome			
the prices were fantastic	prices	positive																							
what a great place !			great																						
still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house	bill	conflict	off-set		measures of liquers	positive																			
the table service could have been a little more attentive but as someone who also works in the service industry , i understood they were busy	table service	conflict	attentive		service	neutral																			
it 's not mind-blowing , but to me , thai food never is and never will be	thai food	neutral	mind-blowing																						
food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience )	food	positive	good	longer	pork belly	negative	fat	negative																	
even though it is a little loud , you do n't have to yell at each other to talk			loud																						
i 've been to sapphire twice and both times the food was fine , if not good	food	positive	fine																						
it is kinda nosiy and the tables are close together but it 's still a beautiful place to enjoy a nice dinner	tables	negative	nosiy	close	place	positive					beautiful							enjoy	nice						
service was prompt , friendly and great	service	positive	friendly																						
i have n't eat a lamb chop as delicious as that , the salads are really nice dressed with lemon and extra virgnin olive oil	lamb chop	positive	delicious	nice	salads	positive	lemon	positive	extra virgnin olive oil	positive															
the sushi was awful !	sushi	negative	awful																						
the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down , it was a pleasurable experience	pastrami sandwich	positive	pleasurable		pickles	positive	beer	positive																	
late nite omelletes are not good here , there is no variety !	omelletes	negative	good																						
after all that , they complained to me about the small tip			small																						
it 's a great place to pick up a cheap lunch or dinner	lunch	positive	great	cheap																					
behind this counter , two men are squeezed in	counter	negative	squeezed																						
whenever you need a sushi fix , mizu will be there with quality fish and great service	sushi fix	positive	quality	great	fish	positive																			
our waitress was sweet and accomodating , not overbearing	waitress	positive	sweet	accomodating																					
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them	table	negative			reservation sigh	neutral																			
i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there	food	negative	disappointed																						
the website and rating makes this place look wonderful but in reality it was very disappointing	place	conflict																							
despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art	menu	negative	limited	perfection	food art	positive					fresh														
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful	outdoor atmosphere	positive																							
it is not worth for that bucks			worth																						
brick oven gallery is my pick for best pizza restaurant anywhere	pizza	positive	best																						
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening	service	positive	great	great	food	positive	price	positive			reasonable							great							
for many people , this may not seem like aunthentic thai food because most places in nyc arent quite authentic	thai food	negative																							
oh , do n't even let me start with how expensive the bills were !	bills	negative	expensive																						
the scallion pancakes and fried dumplings were nothing out of the ordinary	scallion pancakes	neutral			fried dumplings	neutral																			
all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! !	appetizers	positive	fabulous	watering	salads	positive	steak	positive	pasta	positive	delicious														
besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged 45 more than we should have been on our bill	table	negative	undercooked		dishes	negative	table	negative	served	negative															
the food now is inconsistent	food	negative																							
you can also special order any kind of dumpling , etc	dumpling	positive																							
i was pretty much full after our fondue appetizer	fondue appetizer	neutral																							
the octopus eaters were floored by the octopus salad	octopus salad	positive																							
we thought that this place is using too much of msg cooking in the foods	msg cooking	negative	too much																						
and the tom kha soup was pathetic	tom kha soup	negative																							
i started out with a bombay beer which was big enough for two	bombay beer	positive	big																						
the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date	decor	positive	vibrant	eye-pleasing	semi-private boths	positive	dining hall	positive			great														
service was quick	service	positive																							
went there for an office lunch	office lunch	neutral																							
i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed !			disappointed																						
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable	sweet lassi	positive	excellent		lamb chettinad	positive	garlic naan	positive	rasamalai	negative															
we 've been following chef lyle 's food around new york for 15 years and while remaining classic , his innovations with bistro fare have made us return and return	chef	positive	classic		food	positive	bistro fare	positive																	
the best thing i tasted were the lambchops			best																						
the spicy tuna and salmon are the best we 've ever had	spicy tuna	positive	best		salmon	positive																			
even though its good seafood , the prices are too high	seafood	positive	good		prices	negative																			
in addition , the food is very good and the prices are reasonable	food	positive	good		prices	positive																			
upon entering , we were greeted by the owners , steven and frederick , who went out of their way to be more than gracious hosts	owners	positive	gracious																						
been going here since it opened have seen the quality value decrease considerably	quality value	negative	decrease																						
meat dishes now adorn the selections , although there 's still a large number of vegetarian-friendly choices	meat dishes	neutral	large		vegetarian-friendly choices	positive																			
i never had anything i did n't like here			like																						
reasonable prices			reasonable																						
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration	service	positive	notch	complementary	amuse bouche	positive	tables	positive	dessert	positive															
try the crunchy tuna , it is to die for	crunchy tuna	positive	die for																						
all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city	sushi	positive	favorite																						
it is a lot of fun with live entertainment and all kinds of disney type special effects	live entertainment	positive	fun	special	special effects	positive																			
no refills on fountain drinks , though	fountain drinks	negative																							
wow over 100 beers to choose from	beers	positive																							
be careful of portions - they 're huge	portions	positive																							
the steak tartare is a great bet , they fix it for you at the table	steak tartare	positive	great																						
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal	crab croquette apt	negative	like																						
plus , on wednesday nights the house wine is unlimited !	house wine	positive	unlimited																						
it is by far my favorite restaurant in brooklyn			favorite																						
now it 's so crowded and loud you ca n't even talk to the person next to you			crowded	loud																					
love pizza 33..			love																						
even my indian friend could n't believe how good and tasty everything was			good	tasty																					
i 'm from england , and haru 's was the best i had in nyc			best																						
the dim sum servings here are a bit larger than i 'm used to	dim sum servings	neutral	larger																						
however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup	management	neutral	big		door	positive	glass front	negative																	
we wo n't go to this place again for a good meal			good																						
barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance	barbecued codfish	positive	moist	fabulous	texture	conflict	seasoning	negative	spice rub	negative	bland	herb mix	negative	sauce	negative			overwhelmed							
after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny	dinner	neutral	huge	biggest	dance floor	positive																			
has the chef and owner changed	chef	neutral			owner	neutral																			
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience	dinner	positive	satisfied																						
i absolutely loved this place			loved																						
but do n't ever order bacon late at nite ( either platter or in sandwiches , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars	bacon	negative	hurt		platter	negative	in sandwiches	negative	frying	negative		bacos	negative												
outstanding bagels , but you get what you pay for	bagels	positive	outstanding																						
pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !	pizza	positive	best	freshly baked	pizza	positive	toppings	neutral	crust	positive		bread	positive												
if you 're in town , it 's worth searching for another place			worth																						
i found it on a cold night , the perfect spot to warm up	spot	positive	perfect																						
they even have a section in the menu called american chinese food !	menu	negative			american chinese food	negative																			
kalbi and nebbiolo do work together	kalbi	neutral			nebbiolo	neutral																			
best italian food i ever had ( and being italian , that means alot )	italian food	positive	best																						
i will recommend scopa to all of my friends for a place to go for wonderful italian food	italian food	positive	recommend	wonderful																					
located at the end of a magnificent block	located	positive																							
this restaurant is not worth the time , effort , or money to say the least			worth																						
looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen	room	neutral	enjoying	real	meal	positive	clubhouse	negative			real							fabulous							
keep up the good work guys !			good																						
hurley 's is terrific !			terrific																						
they do n't walk around with the trays of dim sum	trays of dim sum	neutral																							
great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady )	bar	positive	great	gorgeous	bartenders	positive																			
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order	dessert	neutral			waitress	negative	bill	neutral																	
i really loved the different and inovated touch that 's the cheff gives to the food	cheff	positive	loved	different							inovated														
they came out over cooked and the cheese was almost non existant	cheese	negative	over cooked	non existant																					
my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary , and to our surprise it was fantastic			great																						
the food is good , especially their more basic dishes , and the drinks are delicious	food	positive	good		dishes	positive	drinks	positive																	
but the main hit was the whole grilled fish	whole grilled fish	positive	hit																						
i had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for 49	tuna tartare	positive			sake	positive	mushroom ravioli	positive	pinot noir	positive		chocolate sampler	positive	dessert wine	positive										
on a hot day it was fabulous to stop in and enjoy lunch			fabulous	enjoy																					
the food is delicious and beautifully prepared along with the friendly and personable service	food	positive	delicious	beautifully							friendly							personable							
i usually go there later at night when i get off work so i do n't have to deal with crowds or lines	crowds	negative																							
pizza here is consistently good	pizza	positive																							
we had a great tiem watching the shows and characters and ar food was just what we were looking for	shows	positive	great		characters	positive	food	positive																	
after 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the manager approached and told us they needed the table for people with reservations	waiter	negative			beers	neutral	manager	negative																	
would n't recomend it for dinner !	dinner	negative	recomend																						
sauce was watery and the food did n't have much flavor	sauce	negative	watery		food	negative																			
my husband and i enjoy sangria			enjoy																						
but after last night , spice grill is the only place i 'm eating indian cuisine	indian cuisine	positive																							
we both opted for a pasta dish and they were served timely and fresh	pasta dish	positive	timely		served	positive																			
first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course	bread	negative	wrong		appetizer	neutral	glass of wine	neutral	main course	neutral															
not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !	neighborhood	positive	great	great	food	positive																			
in an area sadly lacking in decent thai food , this is one of the best spots	thai food	positive	decent	best																					
make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to time square	reservations	negative	delayed		hosting staff	negative	seating	negative	reservation	neutral															
the food was average or above including some surprising tasty dishes	food	positive	average or above	tasty																					
other apetizers and food	apetizers	neutral																							
the noodle and rices dishes taste great	noodle and rices dishes	positive																							
the food 's as good as ever	food	positive	good																						
the crust is thin , the ingredients are fresh and the staff is friendly	crust	positive	thin	fresh	ingredients	positive	staff	positive																	
also a little more expensive than your average bagel place	bagel	neutral	expensive																						
the food was undercooked-the sauce watery , and the vegetables raw	food	negative	watery		sauce	negative	vegetables	negative																	
the secret is the lunch menu which offers a complimentary appetizer with every entree ordered	lunch menu	positive	secret	complimentary	appetizer	positive	entree	positive																	
i absolutely love this place ! ! !			love																						
the rice was poor quality and was cooked so badly it was hard	rice	negative	poor	badly	quality	negative	cooked	negative																	
we had champagne and caviar and felt like princesses !	champagne	positive			caviar	positive																			
the shrimp scampi was excellent and the antipasti were plentiful	shrimp scampi	positive	excellent		antipasti	positive																			
when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort	dessert	neutral			waiter	positive																			
if it 's just a quick martini at the bar ( which i recommend jeffery 's ) or a mind blowing roast chicken , go to village !	martini	neutral	quick	recommend	bar	neutral	roast chicken	positive			mind blowing														
there was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice	wait	negative	long		table	neutral	insde table	positive																	
i would definently recommend this restaurant			recommend																						
if you like spicy food get the chicken vindaloo	spicy food	neutral	like		chicken vindaloo	neutral																			
i love this place !			love																						
i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials	lunch specials	positive	disappointed	amazingly delicious							cheap														
so much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers	bar food	positive	more	enjoy	menu	positive	hand-crafted beers	positive			hand-crafted														
a big disappointment , all around			disappointment																						
no free drink			free																						
i would say that all was fine and tasty but the heaviness on my stomach someting that i ca n't not mention or undermine			fine	tasty																					
this is my first time writing a review for a restaurant because the food and service was excellent	food	positive			service	positive																			
do n't waste money on decor			waste																						
they also have a back garden open in the summer - cute and french with outdoor seatin g - what more could you ask for	back garden	positive	cute		outdoor seatin	positive																			
i have never before eaten 40 pieces of relatively good nigiri			good																						
i 'd call it an 'italian dinner '	dinner	neutral																							
while the place is not a hotspot hangout , the drinks are unique and pack a lot of bang for the buck	place	negative	unique		drinks	positive																			
have frequented 'ino for several years and the food remains excellent	food	positive																							
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it	food	positive	excellent	pricey	quality of food	positive	priced	neutral			well worth														
my friend got the mushroom pizza which tasted better	mushroom pizza	positive																							
i had the cod with paella ( spicy and very filling , i 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries )	cod with paella	negative	spicy	filling	fish and chips	negative	serving	negative	fish	neutral	big	fries	neutral					big							
it 's a shame that a nice , convenient place like the pink pony can be so ruined by lousy service	place	positive	nice	convenient							lousy														
the porcini mushroom pasta special was tasteless , so was the seafood tagliatelle	porcini mushroom pasta special	negative	tasteless		seafood tagliatelle	negative																			
try the spicy wontons and the salt pepper shrimps	spicy wontons	positive			salt pepper shrimps	positive																			
the food portions are really large	food portions	positive																							
the fries are yummy	fries	positive																							
best taiwanese food in ny !	taiwanese food	positive	best																						
this place is a great stop for great food			great	great																					
all the pastas are fantastic and the homemade lasagna is some of the best that i have had in the city	pastas	positive	fantastic	best	homemade lasagna	positive																			
fantastic !			fantastic																						
highly recommended for a first date			recommended																						
we laughed when he finally offered us a dessert menu and we left a 10 percent tip , which was generous , i feel	dessert menu	neutral			tip	positive																			
and the prices were way to high for what you get	prices	negative	high																						
yet paired with such rude service , would never recommend for anyone interested in carrying any kind of conversation while there	service	negative	rude	recommend																					
the in-house lady dj on saturday nights has outrageously good taste in music , and moreover , takes requests	in-house lady dj	positive	good		music	positive																			
i need at least three rolls to be full , and that 's at least 14.00 !	rolls	neutral																							
all of it was simply amazing , unique and tasty and best of all it did n't break the bank			amazing	unique							tasty							best							
great wine list , reasonably priced -- sara	wine list	positive	great	reasonably	priced	positive																			
the hot dogs were cold in the middle and the buns were stale	hot dogs	negative	cold		buns	negative																			
beef noodle soup is good as well	beef noodle soup	positive	good																						
the food 's dazzling flavors overwhelm the palate , truly embracing the beauty of authentic thai cuisine	food	positive	overwhelm	embracing	flavors	positive	thai cuisine	positive			authentic														
i recieved prompt service with a smile	service	positive	prompt																						
the place was quiet and delightful	place	positive	quiet																						
best i 've found outside of the chinatown masters			best																						
they are amazing !			amazing																						
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes	food	positive	diamond	delicious	food	positive	herbs	positive			homemade							perfect							
as much as i like the food there , i ca n't bring myself to go back	food	positive	like																						
the prices and ambience are especially great considering it 's in the west village	prices	positive	great		ambience	positive																			
the soup is pretty good too	soup	positive	good																						
it is so easy to get a reservation at a top place in nyc with a week 's notice	reservation	positive	easy																						
i have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats	root vegetables	positive	better enjoyed		mushroom consomme	positive	chef	positive																	
if you go to roth 's try to be served by mike , he is great ! !	served	positive	great																						
not the food , not the ambiance , not the service , i agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out	food	neutral	rude		ambiance	neutral	service	neutral	wait staff	negative															
i love ess-a-bagel , but i live on the west side , so i often go to murray 's for convenience			love																						
the pizza was delivered cold and the cheese was n't even fully melted !	pizza	negative	cold	melted	cheese	negative																			
we were very surprised by how good the food was on our first visit here on a sunday night	food	positive	surprised	good																					
nha trang , while being notorious for utter lack of comfort and decor , horribly slow wait staff and horribly quick meals , is one of the best vietnamese restaurants i 've ever been to the pho is delicious and comes with very fresh vegtables	comfort	negative	notorious	lack	decor	negative	wait staff	negative	meals	negative	horribly slow	pho	positive					horribly quick	best			delicious	fresh		
on the other hand , if you are not fooled easily , you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse , and food that will outshine in presentaion , taste , choice , quality and quantity	service	neutral	on par	outshine	ambiance	neutral	food	negative	presentaion	negative		taste	negative	choice	negative	quality	negative								
i live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of the pizza place at 3am	bar scene	positive																							
if i could rate the people this place would be off the charts - unfortunately - the pizza , sorry - not the best in nyc	people	positive	best		pizza	negative																			
the portions are now very small , the sauces are overly-ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic	portions	negative	small	inedible	sauces	negative	service	positive			good														
for the price , you can not eat this well in manhattan	price	positive	well																						
the owner is very friendly and a great guy , go try his pizza , you 'll like it !	owner	positive	friendly	great	pizza	positive					like														
the atmosphere is great ! ! !	atmosphere	positive	great																						
it can be a very fun experience with a group , and kids ( 6 and over ) would love it			fun	love																					
i tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose	sea urchin	positive	heavenly																						
the service is a little scatty at times but all is forgiven when the food arrives	service	negative	scatty	forgiven	food	positive																			
the atmosphere is n't the greatest , but i suppose that 's how they keep the prices down	atmosphere	neutral	greatest		prices	positive																			
the pickles were great addition	pickles	positive	great																						
if your favorite chinese food is general tao chicken , then this is not your place	chinese food	neutral	favorite		general tao chicken	negative																			
you must try the shrimp appetizers	shrimp appetizers	positive																							
not only is the cuisine the best around , the service has always been attentive and charming	cuisine	positive	best	attentive	service	positive																			
the production is a symphony , alot of fun to experience.the food sublime for the most part	food	positive	fun	sublime																					
my wife and i have been going to nyc for years and would n't miss roxy , s food is expensive but it 's new york !	food	conflict	expensive																						
it 's like you are transported to the italian countryside , very romantic and filled with antiques			romantic																						
the restaurant was packed at first , so we waited at the bar for about 20 minutes before we were seated	bar	neutral																							
i hate this			hate																						
any if you have a reservation you 'll wait for max 5 minutes - so have a drink at the bar	reservation	positive			drink	neutral																			
whether it 's the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite	parmesean porcini souffle	positive			lamb glazed with balsamic vinegar	positive																			
that place was awesome , , , sally !			awesome																						
finally a reliable chinese restaurant !			reliable																						
but the thing that my wife and i hated was it was so loud and it felt like ' bar ' or ' pub '	bar	negative	hated	loud	pub	negative																			
however , it just so happens that there 's an even more amazing place just down the street			amazing																						
while there are plenty of places to go for a good corned beef sandwich , katz 's has a charm about it	corned beef sandwich	positive	good	charm																					
however , looking at the table next to ours , we both sort of wished we had ordered pizza , which looked perrrrrrrrrfect	pizza	positive																							
priced at upper intermediate range	priced	negative	upper intermediate																						
the fish was adequate , but inexpertly sliced	fish	conflict	adequate	inexpertly																					
i recommend ordering in on a weeknight			recommend																						
try the olive cream cheese or the lox spread on a whole wheat everything bagel	olive cream cheese	positive			lox spread	positive																			
while it 's not nobu , it sure is a great deal and you definitely will leave feeling satisfied and full			great	satisfied																					
they did n't disappoint , service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table	service	positive	disappoint	pleasant	server	positive					attentive														
the rice to fish ration was also good -- they did n't try to overpack the rice	rice to fish ration	positive	good	overpack																					
they used shredded cheese on top !	shredded cheese	neutral																							
katz 's deli is a great ny experience			great																						
the only positive was the wait staff , which was prompt , knowledgable , and likeable	wait staff	positive	positive	prompt							knowledgable														
i could n't reccommend their godmother pizza any higher	godmother pizza	positive	reccommend																						
i am not a vegetarian but , almost all the dishes were great	dishes	positive																							
i was very impressed by this low-key upper eastsider and their authentically thai cuisine ! ! !	thai cuisine	positive	impressed	authentically																					
for the location , the prices are very reasonable	location	neutral			prices	positive																			
the food is okay and the prices here are mediocre	food	neutral	okay		prices	neutral																			
my friend 's food was also the complete opposite of what it 's supposed to taste like ( and look like )	food	negative	opposite																						
i ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime	crab cocktail	negative			lime juice concoction	neutral																			
i would like to return and try some of the other menu items when i do n't have to rush off to a show	menu items	positive																							
we have been to this place many times , and always have great food , wine , and service	food	positive	great		wine	positive																			
alain ducasse is the best of everything , i mean everything was excelent.i			best																						
not a typical pizza joint , but good for a low key and fairly cheap nice sit down dinner			typical	good							nice														
the corned beef was tender and melted in my mouth	corned beef	positive	tender																						
the best chicken pad tai , i 've ever had	chicken pad tai	positive	best																						
20 for all you can eat sushi can not be beaten	sushi	neutral																							
over 100 different choices to create your own			different																						
haru serves very fresh fish , has a trendy , modern ambiance , prime location on park avenue south and friendly service	fish	positive	fresh	trendy	ambiance	positive	location	positive			modern							prime	friendly						
warm and friendly in the winter and terrific outdoor seating in the warmer months	outdoor seating	positive	warm	friendly							terrific														
very romantic fires - i 've literally spent hours at lanterna , drinking wine from their extensive wine and enjoying the ambience	wine	positive	romantic	extensive	wine	positive					enjoying														
we got a little tipsy from the sake but is n't that what saturday nights with the girlfriends are all about	sake	neutral	tipsy																						
i loved it and will be back soon			loved																						
always a nice crowd , but never loud	crowd	positive	nice																						
my turkey burger was not cooked at all , my friends salmon was completely raw	turkey burger	negative			salmon	negative																			
the service is spotty , sometimes really friendly and sometimes barely there	service	conflict	spotty	friendly																					
decor is minimalist and clean - nothing to distract or commend	decor	neutral	minimalist	clean																					
his drinks are very inventive , delicious and classy	drinks	positive	inventive	delicious																					
great food , great prices , great service	food	positive	great	great	prices	positive					great														
this is n't your corner chinese food takeout	chinese food	neutral																							
try ordering from the regular menu , then you would not regret !	menu	positive	regret																						
told us to sit anywhere , and when we sat he said the table was reserved	table	negative																							
uni from maine vs california , sea vs freshwater eel ) to get a good taste comparison	eel	neutral	good																						
we started with lox and mussels ( the best ive ever had , ever ) and had the cod and trout for dinner	lox	positive	best		mussels	positive	cod	neutral	trout	neutral															
food is great	food	positive																							
there is a lot of variety even for people who eat vegetarian like me			a lot of																						
i recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal !	meatballs	positive	recommend	wonderful	caprese salad	positive	beans on toast	positive	meal	neutral															
this place is incredibly tiny	place	negative																							
i did n't complain , i liked the atmosphere so much	atmosphere	positive	liked																						
the wine is always good , the tapas are always yummy , especially with the warm pita bread	wine	positive	good	yummy	tapas	positive	pita bread	positive			warm														
but when you are seated the waitresses are great , they explain everything on the menu , and the price of the food is really cheap for the service you get	waitresses	positive	great	cheap	menu	neutral	price	positive	food	neutral		service	positive												
i 've been to several places for dim sum and this has got to be the worst	dim sum	negative																							
i love this place			love																						
go to volare for 1st class service and terrific food	service	positive	1st class	terrific																					
it 's super-trendy and there 's always someone to take that empty seat , so it seems that customer service has been deemed not of the essence	seat	neutral	super-trendy		service	positive																			
dinner took almost 4 hours without any lag time	dinner	negative																							
the people in the restaurant were pretty obnoxious and loud	people	negative	obnoxious																						
the sandwiches are dry , tasteless and way overpriced	sandwiches	negative	dry	tasteless																					
the fried rice is really good too	fried rice	positive	good																						
we were well attended to by the enthusiastic staff especially the manager tony gaskin who made excellent suggestions for our menu selections	staff	positive	well	enthusiastic	manager	positive	menu selections	positive			excellent														
made my dining experience uncomfortable	dining experience	negative																							
still stay away , the table next to us walked out after my table and aanother were serves eventhough they were there much longer	serves	negative																							
i was with a party of 7 ( close but not next the the front doors ) and we were eating with our coats on	front doors	neutral																							
a very inviting restaurant , with friendly service			inviting	friendly																					
the back garden sitting area is very pleasant , where you can see their personal herb garden	back garden sitting area	positive	pleasant		personal herb garden	positive																			
i was very disappointed with this restaurant			disappointed																						
the drinks are always welll made and wine selection is fairly priced	drinks	positive	fairly		wine selection	neutral																			
we also had shared a house salad that was fresh	house salad	positive																							
the ceiling is amazing !	ceiling	positive	amazing																						
i 'm glad i was introduced to this place and this is a rare gem in ny			glad																						
and at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water	check	neutral			table	neutral	glass of water	neutral																	
the space is a bit too small for live music , so on jazz nights , it can be loud and cramped	space	negative	small	loud	live music	neutral	jazz nights	neutral																	
food was average but tasty	food	positive	average																						
